App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 07:40:55 PM","6 min 46 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
41536,80,41542,1335064,41558,80,
41638,95,41639,1337652,41646,95,
41689,95,41690,1336036,41713,95,
41789,88,41790,1333528,41804,88,
41890,84,41897,1341856,41923,87,
41992,90,41993,1338608,42082,87,
42091,97,42093,1338272,42108,97,
42196,89,42198,1335952,42239,90,
42344,96,42345,1333880,42366,96,
42445,68,42446,1334552,42453,68,
42546,69,42546,1342600,42562,71,
42646,92,42647,1340592,42718,93,
42747,97,42748,1340748,42758,94,
42848,90,42849,1335964,42860,92,
42911,90,42913,1336344,42936,92,
43006,100,43008,1336068,43045,100,
43103,79,43104,1335544,43114,76,
43254,78,43255,1338700,43331,78,
43354,100,43362,1345656,43388,100,
43455,90,43455,1336684,43465,89,
43555,92,43556,1337804,43631,93,
43663,100,43665,1336972,43672,100,
43757,81,43758,1336200,43764,79,
43858,83,43860,1340348,43872,85,
43921,95,43922,1339632,44003,95,
44019,100,44020,1338464,44029,100,
44120,80,44121,1336800,44134,79,
44232,93,44234,1339924,44289,93,
44334,92,44335,1337264,44352,92,
44435,75,44436,1334968,44441,75,
44535,95,44537,1337044,44554,95,
44638,97,44639,1344844,44661,97,
44739,86,44740,1339156,44756,87,
44842,88,44843,1340416,44868,88,
44956,100,44957,1338572,44969,100,
45051,87,45052,1337188,45057,86,
45151,75,45152,1340524,45161,75,
45258,95,45259,1341648,45364,95,
45365,100,45367,1348760,45381,100,
45460,95,45461,1340436,45494,95,
45561,95,45562,1342328,45595,93,
45668,100,45669,1341228,45676,100,
45768,87,45769,1341000,45775,88,
45883,82,45884,1351160,45906,83,
46032,98,46038,1343504,46046,98,
46082,76,46083,1344264,46091,72,
46188,92,46208,1342292,46221,94,
46293,97,46295,1343504,46314,96,
46389,92,46390,1342896,46405,93,
46513,80,46547,1352152,46571,84,
46572,100,46573,1347368,46592,100,
46650,93,46651,1349780,46718,93,
46750,100,46751,1349396,46761,100,
46850,97,46852,1348352,46870,97,
46958,95,46959,1351372,46995,95,
47062,97,47064,1348016,47084,97,
47155,91,47156,1348492,47171,91,
47255,87,47256,1360120,47275,89,
47406,92,47410,1362372,47438,92,
47507,97,47533,1357824,47545,97,
47618,97,47619,1356700,47634,97,
47669,100,47670,1357072,47677,100,
47782,100,47783,1356796,47790,100,
47882,97,47883,1358164,47894,97,
47989,95,47992,1363988,48006,95,
48090,100,48091,1368556,48170,100,
48193,100,48194,1364992,48250,100,
48310,100,48311,1365308,48321,100,
48415,100,48416,1367680,48428,100,
48518,100,48520,1367036,48533,97,
48628,90,48629,1371136,48706,91,
48718,100,48719,1367684,48744,100,
48829,100,48830,1368040,48842,100,
48920,97,48921,1367644,48955,97,
49029,97,49029,1369468,49100,97,
49102,100,49106,1369656,49135,100,
49181,100,49183,1369164,49214,100,
49283,92,49284,1369648,49293,92,
49383,92,49384,1378396,49431,92,
49492,100,49494,1365448,49610,100,
49626,100,49627,1365444,49656,100,
49732,90,49738,1368316,49772,89,
49838,97,49840,1369116,49954,94,
49958,97,49965,1366628,49987,100,
50033,100,50035,1365932,50065,100,
50133,83,50135,1366176,50153,81,
50234,97,50235,1370920,50248,97,
50334,90,50335,1376812,50367,90,
50435,83,50436,1370204,50481,84,
50548,95,50550,1368952,50568,94,
50636,93,50637,1369424,50655,95,
50737,83,50738,1367584,50750,82,
50848,80,50849,1371944,50856,76,
50964,97,50965,1371544,51067,97,
51069,100,51070,1372808,51086,100,
51158,97,51160,1369596,51186,97,
51208,89,51209,1368808,51225,90,
51309,97,51309,1371084,51332,97,
51409,97,51410,1367972,51425,97,
51510,60,51511,1368164,51515,57,
51618,94,51628,1369768,51707,95,
51725,100,51726,1376552,51745,100,
51829,85,51830,1371388,51853,84,
51931,95,51932,1371372,52005,96,
52038,97,52039,1371236,52066,95,
52137,71,52139,1369008,52145,70,
52239,88,52240,1373596,52250,90,
52348,91,52349,1378708,52356,91,
52454,94,52462,1371532,52485,94,
52556,90,52557,1372152,52634,90,
52684,96,52692,1370676,52718,96,
52735,90,52736,1369440,52745,90,
52834,53,52835,1368944,52841,52,
52935,92,52936,1371088,52946,93,
53035,97,53041,1378932,53080,100,
53188,95,53189,1372696,53218,94,
53289,97,53291,1371580,53362,97,
53407,100,53411,1371524,53426,100,
53456,94,53457,1371052,53482,93,
53557,78,53557,1373060,53630,78,
53657,100,53658,1377876,53677,100,
53773,96,53804,1383612,53839,96,
53870,95,53871,1378276,53885,93,
53972,100,53973,1375984,53982,100,
54085,97,54086,1376756,54136,97,
54181,97,54183,1375168,54204,97,
54281,70,54282,1373164,54288,67,
54382,94,54383,1373912,54401,94,
54493,97,54515,1382336,54536,98,
54590,85,54592,1374492,54632,86,
54685,94,54687,1375360,54721,94,
54807,100,54808,1373844,54836,100,
54907,82,54908,1373556,54917,82,
55012,82,55013,1377352,55031,81,
55116,95,55117,1381868,55187,96,
55209,97,55211,1379644,55240,95,
55319,100,55320,1376412,55335,100,
55429,97,55430,1376100,55454,98,
55529,97,55530,1375448,55543,94,
55631,82,55632,1379116,55670,84,
55738,92,55780,1384872,55811,94,
55816,100,55817,1379608,55854,100,
55892,90,55892,1376752,55924,90,
56050,93,56052,1379368,56080,93,
56100,94,56101,1377084,56124,88,
56200,81,56200,1376588,56205,83,
56325,83,56327,1382096,56335,84,
56439,93,56440,1385404,56470,93,
56541,89,56546,1377872,56588,90,
56642,97,56643,1379856,56672,97,
56704,96,56705,1381348,56735,96,
56804,100,56805,1379688,56825,100,
56905,63,56906,1376748,56919,61,
57009,73,57010,1385384,57016,70,
57107,97,57118,1385012,57178,97,
57207,92,57208,1382904,57217,91,
57308,93,57309,1379736,57352,92,
57416,92,57426,1380796,57433,93,
57519,90,57523,1377984,57538,87,
57642,80,57643,1386128,57690,80,
57749,95,57750,1375072,57823,95,
57851,100,57853,1374212,57867,100,
57954,97,57956,1370416,57974,97,
58054,94,58055,1372904,58100,94,
58157,97,58158,1371168,58171,95,
58258,52,58260,1370564,58265,52,
58358,93,58359,1372996,58369,92,
58470,97,58472,1379956,58488,97,
58567,95,58568,1370680,58611,95,
58662,100,58664,1372780,58685,100,
58790,100,58791,1374400,58825,100,
58869,96,58871,1368544,58900,96,
58969,87,58970,1370224,58976,87,
59078,79,59079,1371848,59086,79,
59194,91,59196,1373820,59265,94,
59266,100,59275,1375928,59295,100,
59351,86,59352,1371084,59370,81,
59508,96,59509,1375052,59547,96,
59572,100,59574,1373308,59599,100,
59660,81,59665,1368832,59671,80,
59773,81,59774,1372840,59786,81,
59871,92,59872,1376664,59940,91,
59972,94,59973,1375052,59986,92,
60080,95,60081,1373032,60139,97,
60186,92,60188,1371524,60223,93,
60285,85,60286,1370524,60302,85,
60385,82,60386,1379884,60420,84,
60485,92,60486,1378232,60556,92,
60586,92,60588,1376848,60615,92,
60690,100,60691,1372244,60713,100,
60791,97,60792,1372956,60800,97,
60895,76,60896,1371736,60906,77,
61009,71,61010,1379160,61041,68,
61110,97,61111,1378044,61188,97,
61212,100,61214,1376924,61221,97,
61311,95,61312,1373484,61325,97,
61426,100,61434,1376172,61453,100,
61516,86,61522,1373284,61532,86,
61628,80,61629,1378280,61636,79,
61730,100,61732,1375340,61807,100,
61830,97,61832,1376432,61843,95,
61933,85,61934,1374780,61944,87,
62043,92,62044,1377012,62071,93,
62093,100,62094,1374804,62123,95,
62199,82,62200,1373832,62208,83,
62351,77,62352,1375280,62422,77,
62424,100,62425,1382436,62480,100,
62500,87,62501,1378840,62509,87,
62602,94,62604,1376060,62633,94,
62703,97,62705,1377012,62739,95,
62802,87,62803,1372944,62808,89,
62953,73,62954,1379932,62974,72,
63059,93,63060,1380416,63110,95,
63155,80,63156,1375468,63172,78,
63255,90,63256,1376588,63273,95,
63355,100,63356,1377616,63387,100,
63456,84,63457,1374668,63467,83,
63557,55,63559,1375756,63567,53,
63661,91,63662,1377232,63671,91,
63759,100,63760,1378328,63768,100,
63859,94,63860,1375872,63870,94,
63978,91,63979,1377380,63986,91,
64071,94,64072,1374844,64081,94,
64122,80,64123,1374876,64133,80,
64222,78,64230,1379264,64239,80,
64322,97,64323,1383336,64381,97,
64423,92,64424,1380840,64443,92,
64529,97,64536,1377352,64549,97,
64640,100,64641,1378588,64651,100,
64733,94,64735,1376668,64765,95,
64832,80,64834,1377036,64892,80,
64934,100,64938,1372412,64952,100,
65042,100,65043,1375888,65066,100,
65140,90,65142,1370720,65149,90,
65245,90,65246,1371476,65315,91,
65341,100,65343,1369920,65373,100,
65442,80,65451,1369192,65465,82,
65547,87,65549,1378100,65564,87,
65643,90,65644,1375664,65689,88,
65743,90,65745,1372516,65771,90,
65858,97,65859,1372084,65866,97,
65961,95,65965,1373176,65974,95,
66062,85,66063,1369000,66070,85,
66170,88,66172,1372952,66178,88,
66269,92,66270,1379076,66312,92,
66371,82,66376,1372072,66385,82,
66475,92,66476,1372960,66483,92,
66578,95,66584,1370824,66625,95,
66678,85,66680,1370288,66688,84,
66783,90,66784,1374248,66791,87,
66894,95,66897,1379952,66905,97,
66994,82,66997,1373420,67015,82,
67107,94,67108,1371868,67115,95,
67203,100,67208,1372164,67218,100,
67298,87,67303,1371440,67311,86,
67398,44,67399,1371064,67457,44,
67515,95,67552,1378260,67629,97,
67631,100,67633,1375380,67668,100,
67670,77,67670,1375976,67683,80,
67771,82,67772,1373176,67779,81,
67873,100,67874,1375976,67892,100,
67974,89,67976,1373564,67987,88,
68076,63,68077,1372888,68134,66,
68187,97,68189,1373696,68196,97,
68285,97,68286,1382032,68306,97,
68382,84,68384,1374536,68412,83,
68483,95,68485,1374620,68534,95,
68583,93,68584,1374980,68600,93,
68686,83,68690,1372840,68700,81,
68798,67,68799,1380348,68833,66,
68899,90,68900,1378612,68973,90,
69000,94,69001,1377992,69017,95,
69110,90,69111,1375692,69121,90,
69211,94,69213,1377992,69232,94,
