execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.005594,1,1024,1024,1008,1,1008
0.026954,1,2048,2048,1024,1,1024
0.005079,1,1024,1024,1008,1,1008
0.02594,1,2048,2048,1024,1,1024
0.010591,1,1024,1024,1008,1,1008
0.027217,1,2048,2048,1024,1,1024
0.013613,1,1024,1024,1008,1,1008
0.025939,1,2048,2048,1024,1,1024
0.007378,1,1024,1024,1008,1,1008
0.019423,1,2048,2048,1024,1,1024
0.003776,1,1024,1024,1008,1,1008
0.023704,1,2048,2048,1024,1,1024
0.008636,1,1024,1024,1008,1,1008
0.028739,1,2048,2048,1024,1,1024
0.007604,1,1024,1024,1008,1,1008
0.023822,1,2048,2048,1024,1,1024
0.015263,1,1024,1024,1008,1,1008
0.020047,1,2048,2048,1024,1,1024
0.008153,1,1024,1024,1008,1,1008
0.02304,1,2048,2048,1024,1,1024
0.006184,1,1024,1024,1008,1,1008
0.014789,1,2048,2048,1024,1,1024
0.005596,1,1024,1024,1008,1,1008
0.025041,1,2048,2048,1024,1,1024
0.00412,1,1024,1024,1008,1,1008
0.023807,1,2048,2048,1024,1,1024
0.013148,1,1024,1024,1008,1,1008
0.022677,1,2048,2048,1024,1,1024
0.004992,1,1024,1024,1008,1,1008
0.020725,1,2048,2048,1024,1,1024
0.003806,1,1024,1024,1008,1,1008
0.030025,1,2048,2048,1024,1,1024
0.007968,1,1024,1024,1008,1,1008
0.026176,1,2048,2048,1024,1,1024
0.011583,1,1024,1024,1008,1,1008
0.022429,1,2048,2048,1024,1,1024
0.003474,1,1024,1024,1008,1,1008
0.028584,1,2048,2048,1024,1,1024
0.012921,1,1024,1024,1008,1,1008
0.020092,1,2048,2048,1024,1,1024
0.005038,1,1024,1024,1008,1,1008
0.020585,1,2048,2048,1024,1,1024
0.011285,1,1024,1024,1008,1,1008
0.028248,1,2048,2048,1024,1,1024
0.010427,1,1024,1024,1008,1,1008
0.019811,1,2048,2048,1024,1,1024
0.008686,1,1024,1024,1008,1,1008
0.025054,1,2048,2048,1024,1,1024
0.005397,1,1024,1024,1008,1,1008
0.027709,1,2048,2048,1024,1,1024
0.007486,1,1024,1024,1008,1,1008
0.027696,1,2048,2048,1024,1,1024
0.009699,1,1024,1024,1008,1,1008
0.023956,1,2048,2048,1024,1,1024
0.009164,1,1024,1024,1008,1,1008
0.026588,1,2048,2048,1024,1,1024
0.005364,1,1024,1024,1008,1,1008
0.02235,1,2048,2048,1024,1,1024
0.005001,1,1024,1024,1008,1,1008
0.025662,1,2048,2048,1024,1,1024
0.017281,1,1024,1024,1008,1,1008
0.026943,1,2048,2048,1024,1,1024
0.014081,1,1024,1024,1008,1,1008
0.023254,1,2048,2048,1024,1,1024
0.008469,1,1024,1024,1008,1,1008
0.02091,1,2048,2048,1024,1,1024
0.0031,1,1024,1024,1008,1,1008
0.01099,1,2048,2048,1024,1,1024
0.003691,1,1024,1024,1008,1,1008
0.027574,1,2048,2048,1024,1,1024
0.008846,1,1024,1024,1008,1,1008
0.025058,1,2048,2048,1024,1,1024
0.008197,1,1024,1024,1008,1,1008
0.031857,1,2048,2048,1024,1,1024
0.010349,1,1024,1024,1008,1,1008
0.008739,1,2048,2048,1024,1,1024
0.00369,1,1024,1024,1008,1,1008
0.022312,1,2048,2048,1024,1,1024
0.002959,1,1024,1024,1008,1,1008
0.013242,1,2048,2048,1024,1,1024
0.003224,1,1024,1024,1008,1,1008
0.023997,1,2048,2048,1024,1,1024
0.010723,1,1024,1024,1008,1,1008
0.023228,1,2048,2048,1024,1,1024
0.003374,1,1024,1024,1008,1,1008
0.023681,1,2048,2048,1024,1,1024
0.007942,1,1024,1024,1008,1,1008
0.025019,1,2048,2048,1024,1,1024
0.012246,1,1024,1024,1008,1,1008
0.026679,1,2048,2048,1024,1,1024
0.011088,1,1024,1024,1008,1,1008
0.019876,1,2048,2048,1024,1,1024
0.007042,1,1024,1024,1008,1,1008
0.022867,1,2048,2048,1024,1,1024
0.00395,1,1024,1024,1008,1,1008
0.023543,1,2048,2048,1024,1,1024
0.00656,1,1024,1024,1008,1,1008
0.028649,1,2048,2048,1024,1,1024
0.008426,1,1024,1024,1008,1,1008
0.010002,1,2048,2048,1024,1,1024
0.005516,1,1024,1024,1008,1,1008
0.030166,1,2048,2048,1024,1,1024
0.011491,1,1024,1024,1008,1,1008
0.010903,1,2048,2048,1024,1,1024
0.002983,1,1024,1024,1008,1,1008
0.007769,1,2048,2048,1024,1,1024
0.003272,1,1024,1024,1008,1,1008
0.021833,1,2048,2048,1024,1,1024
0.009813,1,1024,1024,1008,1,1008
0.023149,1,2048,2048,1024,1,1024
0.011343,1,1024,1024,1008,1,1008
0.028135,1,2048,2048,1024,1,1024
0.006095,1,1024,1024,1008,1,1008
0.020315,1,2048,2048,1024,1,1024
0.018098,1,1024,1024,1008,1,1008
0.020672,1,2048,2048,1024,1,1024
0.005873,1,1024,1024,1008,1,1008
0.024917,1,2048,2048,1024,1,1024
0.003688,1,1024,1024,1008,1,1008
0.028039,1,2048,2048,1024,1,1024
0.006544,1,1024,1024,1008,1,1008
0.023912,1,2048,2048,1024,1,1024
0.008754,1,1024,1024,1008,1,1008
0.02716,1,2048,2048,1024,1,1024
0.005292,1,1024,1024,1008,1,1008
0.020222,1,2048,2048,1024,1,1024
0.007189,1,1024,1024,1008,1,1008
0.020976,1,2048,2048,1024,1,1024
0.006308,1,1024,1024,1008,1,1008
0.008968,1,2048,2048,1024,1,1024
0.003951,1,1024,1024,1008,1,1008
0.021898,1,2048,2048,1024,1,1024
0.005874,1,1024,1024,1008,1,1008
0.019815,1,2048,2048,1024,1,1024
0.004936,1,1024,1024,1008,1,1008
0.010715,1,2048,2048,1024,1,1024
0.003012,1,1024,1024,1008,1,1008
0.027079,1,2048,2048,1024,1,1024
0.0051,1,1024,1024,1008,1,1008
0.026777,1,2048,2048,1024,1,1024
0.005797,1,1024,1024,1008,1,1008
0.02753,1,2048,2048,1024,1,1024
0.005184,1,1024,1024,1008,1,1008
0.024083,1,2048,2048,1024,1,1024
0.008152,1,1024,1024,1008,1,1008
0.02239,1,2048,2048,1024,1,1024
0.009257,1,1024,1024,1008,1,1008
0.023425,1,2048,2048,1024,1,1024
0.008754,1,1024,1024,1008,1,1008
0.028601,1,2048,2048,1024,1,1024
0.006099,1,1024,1024,1008,1,1008
0.02717,1,2048,2048,1024,1,1024
0.008671,1,1024,1024,1008,1,1008
0.023316,1,2048,2048,1024,1,1024
