Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
35000,52,42538,1586000,42539,3493916,121413.818181818,42554,31
35101,61,42638,1586000,42639,3497328,124825.818181818,42654,33
35201,27,42739,1586000,42740,3498320,125817.818181818,42755,19
35302,66,42840,1586000,42841,3506616,134113.818181818,42855,39
35402,63,42939,1586000,42940,3507212,134709.818181818,42955,37
35502,58,43040,1586000,43041,3507264,134761.818181818,43055,34
35603,87,43140,1586000,43141,3508908,136405.818181818,43161,45
35703,0,43240,1586000,43241,3509836,137333.818181818,43259,30
35803,87,43341,1586000,43342,3508672,136169.818181818,43362,40
35903,0,43441,1586000,43442,3508412,135909.818181818,43456,33
36004,87,43542,1170000,43543,3509508,137005.818181818,43566,42
36104,0,43642,1378000,43643,3510324,137821.818181818,43661,23
36205,61,43742,1586000,43744,3508500,135997.818181818,43761,31
36305,66,43843,1586000,43844,3508960,136457.818181818,43864,38
36406,55,43944,1586000,43945,3504128,131625.818181818,43961,33
36506,57,44044,1586000,44046,3505176,132673.818181818,44063,34
36607,30,44144,1586000,44145,3505920,133417.818181818,44161,19
36707,61,44245,1586000,44246,3505144,132641.818181818,44263,34
36807,63,44345,1586000,44346,3499588,127085.818181818,44362,37
36908,62,44445,1586000,44446,3497432,124929.818181818,44461,35
37008,66,44546,1586000,44547,3498108,125605.818181818,44563,37
37109,40,44646,1482000,44647,3500112,127609.818181818,44661,27
37209,59,44747,1378000,44748,3507304,134801.818181818,44768,29
37310,70,44847,1586000,44848,3508048,135545.818181818,44862,42
37412,60,44950,1586000,44952,3505636,133133.818181818,44970,35
37511,54,45049,1586000,45050,3505104,132601.818181818,45067,30
37611,22,45149,1586000,45150,3505600,133097.818181818,45167,15
37712,53,45250,1586000,45251,3505848,133345.818181818,45266,31
37813,61,45351,1586000,45353,3505848,133345.818181818,45370,39
37914,54,45452,1586000,45455,3506676,134173.818181818,45478,32
38014,87,45551,1586000,45552,3505228,132725.818181818,45573,27
38113,0,45654,1586000,45655,3495648,123145.818181818,45670,31
38215,87,45752,1586000,45754,3504832,132329.818181818,45773,32
38315,0,45853,1170000,45859,3506228,133725.818181818,45879,30
38418,59,45955,1274000,45956,3507388,134885.818181818,45980,32
38516,44,46053,1586000,46055,3505468,132965.818181818,46072,27
38617,72,46155,1586000,46156,3512660,140157.818181818,46175,41
38717,60,46254,1586000,46256,3512760,140257.818181818,46271,37
38819,66,46356,1586000,46357,3496400,123897.818181818,46373,34
38918,57,46456,1586000,46457,3499128,126625.818181818,46475,29
39020,37,46558,1586000,46559,3498212,125709.818181818,46575,26
39118,59,46656,1586000,46658,3509000,136497.818181818,46678,33
39220,66,46760,1586000,46762,3510488,137985.818181818,46777,38
39321,51,46858,1586000,46860,3510496,137993.818181818,46878,28
39420,58,46958,1586000,46960,3511240,138737.818181818,46982,30
39520,42,47058,1586000,47059,3510408,137905.818181818,47078,24
39622,62,47162,1274000,47164,3508436,135933.818181818,47190,37
39721,69,47259,1586000,47260,3505676,133173.818181818,47292,39
39822,63,47359,1586000,47362,3505532,133029.818181818,47391,37
39922,60,47460,1586000,47461,3506852,134349.818181818,47479,33
40022,33,47561,1586000,47562,3505792,133289.818181818,47582,24
