Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
18964,23,25492,858000,25493,3365896,2512.6728971964,25614,23
19066,36,25594,1586000,25596,3363776,392.6728971964,25718,20
19167,27,25695,1586000,25696,3364024,640.6728971964,25821,25
19268,33,25797,1586000,25802,3364280,896.6728971964,25930,21
19369,30,25901,962000,25902,3363592,208.6728971964,26037,25
19473,40,26000,1586000,26002,3365576,2192.6728971964,26130,29
19570,49,26097,1586000,26098,3368248,4864.6728971964,26220,15
19671,24,26199,1170000,26200,3367312,3928.6728971964,26344,7
19776,16,26304,442000,26307,3367560,4176.6728971964,26430,8
19873,19,26405,754000,26407,3367560,4176.6728971964,26528,8
19974,22,26503,858000,26506,3367976,4592.6728971964,26633,7
20077,16,26606,442000,26608,3368224,4840.6728971964,26742,13
20181,29,26709,858000,26711,3370356,6972.6728971964,26833,12
20278,27,26806,442000,26808,3366468,3084.6728971964,26938,9
20384,27,26912,858000,26914,3366468,3084.6728971964,27020,8
20478,87,27006,754000,27007,3366420,3036.6728971964,27118,14
20578,26,27105,858000,27106,3367140,3756.6728971964,27218,19
20679,40,27206,1066000,27208,3369124,5740.6728971964,27317,16
20779,27,27306,1170000,27307,3366456,3072.6728971964,27451,31
20894,0,27427,1586000,27436,3366204,2820.6728971964,27538,29
20982,42,27510,1586000,27511,3366204,2820.6728971964,27624,24
21082,32,27609,1586000,27610,3366436,3052.6728971964,27733,23
21182,32,27710,1586000,27711,3367904,4520.6728971964,27831,23
21283,30,27811,1586000,27812,3367340,3956.6728971964,27924,26
21384,87,27912,1586000,27913,3368084,4700.6728971964,28017,31
21483,38,28010,1066000,28010,3370960,7576.6728971964,28117,40
21583,43,28110,1066000,28110,3373256,9872.6728971964,28219,27
21683,33,28210,1170000,28211,3397528,34144.6728971964,28319,24
21783,32,28311,1066000,28311,3492640,129256.672897196,28418,24
21884,29,28411,1066000,28411,3586916,223532.672897196,28517,24
22084,35,28511,1170000,28512,3584116,220732.672897196,28617,28
22184,0,28611,754000,28611,3583880,220496.672897196,28715,9
22284,22,28711,858000,28712,3584460,221076.672897196,28815,11
22386,87,28812,754000,28812,3582908,219524.672897196,28919,6
22486,0,28913,1170000,28913,3587268,223884.672897196,29032,17
22587,41,29014,1274000,29015,3584392,221008.672897196,29150,19
22687,36,29115,650000,29117,3579804,216420.672897196,29250,20
22788,24,29215,1378000,29216,3581172,217788.672897196,29332,16
22888,31,29316,1586000,29317,3578016,214632.672897196,29433,23
22988,32,29415,1586000,29416,3571568,208184.672897196,29541,23
