App,Package,Start Time,Duration,Filename
"System",,"Jan. 6, 2018 @ 12:02:03 vorm.","7 min 14 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
16786,33,16787,1586000,16789,3359908,16908,35,
16887,50,16888,1586000,16890,3361272,17005,31,
16988,43,16988,1586000,16989,3361768,17113,24,
17088,31,17089,1586000,17091,3363504,17208,26,
17189,35,17190,1586000,17191,3362124,17309,13,
17289,20,17290,1378000,17291,3362124,17415,7,
17391,19,17391,754000,17393,3362620,17515,8,
17491,20,17492,858000,17493,3363116,17613,7,
17591,19,17592,1066000,17593,3363380,17712,13,
17691,24,17692,1066000,17694,3362100,17820,13,
17793,25,17794,1274000,17795,3362140,17909,30,
17892,50,17893,1586000,17894,3361412,18020,9,
17993,16,17994,858000,17995,3361660,18118,9,
18094,18,18095,754000,18097,3362652,18225,9,
18196,23,18197,442000,18200,3361224,18315,10,
18295,24,18295,1170000,18297,3361720,18424,6,
18397,15,18398,546000,18401,3361968,18517,17,
18496,31,18497,1586000,18499,3364796,18626,22,
18597,31,18597,1586000,18600,3364984,18717,30,
18697,43,18698,1586000,18699,3363260,18817,25,
18798,33,18799,1586000,18800,3361528,18918,17,
18898,24,18899,1586000,18900,3362272,19022,22,
18999,30,19000,1586000,19001,3362512,19119,15,
19100,21,19100,1586000,19101,3362760,19235,7,
19203,13,19210,442000,19212,3361776,19324,7,
19301,22,19302,858000,19304,3361728,19428,6,
19402,16,19403,858000,19404,3361976,19534,7,
19505,15,19507,546000,19509,3362472,19639,8,
19603,22,19604,858000,19606,3362720,19740,11,
19706,24,19707,442000,19710,3362788,19829,8,
19804,22,19805,858000,19807,3363116,19941,6,
19907,16,19908,442000,19911,3363364,20034,9,
20007,24,20008,858000,20010,3363860,20142,6,
20108,18,20109,442000,20112,3364356,20248,9,
20209,23,20210,442000,20213,3364860,20333,22,
20308,37,20308,1586000,20310,3362888,20431,26,
20408,34,20409,1586000,20410,3363384,20542,29,
20510,38,20510,1586000,20515,3363632,20621,20,
20609,30,20610,1586000,20611,3363436,20743,24,
20711,32,20712,1586000,20716,3362492,20833,23,
20812,32,20812,1586000,20814,3362744,20930,10,
20911,13,20912,1586000,20913,3362992,21045,10,
21014,13,21016,442000,21018,3363240,21145,6,
21113,17,21114,858000,21116,3363240,21264,7,
21215,17,21216,442000,21219,3363488,21284,16,
21266,43,21267,1170000,21268,3362552,21386,10,
21364,18,21365,1170000,21367,3362552,21489,14,
21464,24,21465,1378000,21466,3362860,21588,6,
21565,17,21566,858000,21568,3363108,21689,5,
21666,14,21667,858000,21668,3363060,21792,11,
21767,26,21769,1066000,21770,3363680,21885,11,
21867,17,21867,1274000,21869,3361984,21989,9,
21967,19,21968,1066000,21969,3363240,22087,20,
22068,32,22069,1586000,22070,3361764,22188,20,
22168,28,22169,1586000,22170,3362012,22288,24,
22269,33,22270,1586000,22271,3361520,22392,18,
22369,24,22370,1586000,22371,3361224,22489,28,
22470,38,22471,1586000,22472,3362460,22587,21,
22570,31,22571,1586000,22572,3362868,22690,8,
22671,15,22672,1170000,22673,3363116,22802,9,
22772,20,22773,1170000,22777,3363488,22894,8,
22873,19,22874,858000,22875,3362824,22999,7,
22974,18,22975,650000,22977,3363320,23096,7,
23074,20,23075,858000,23077,3363568,23195,12,
23175,27,23175,1066000,23177,3364436,23297,6,
23275,12,23276,962000,23277,3364932,23397,9,
23376,18,23377,962000,23378,3363600,23499,7,
23476,21,23477,858000,23479,3363600,23599,7,
23577,16,23578,962000,23579,3364096,23711,6,
23679,22,23680,546000,23682,3364856,23800,19,
23777,34,23778,1378000,23780,3364032,23912,26,
23878,35,23879,1586000,23880,3364280,24003,26,
23979,37,23979,1586000,23984,3363048,24096,24,
24079,31,24080,1586000,24081,3361816,24200,17,
24181,29,24181,1378000,24183,3362304,24302,24,
24281,31,24281,1586000,24283,3362800,24400,12,
24381,16,24382,1586000,24383,3363048,24501,9,
24482,14,24483,1274000,24484,3361816,24606,8,
24583,15,24583,858000,24585,3362064,24714,7,
24684,16,24685,546000,24687,3362668,24804,8,
24784,22,24784,1066000,24786,3363040,24918,10,
24889,20,24892,858000,24894,3363784,25019,11,
24988,24,24988,1274000,24990,3365768,25108,9,
25088,17,25089,1170000,25091,3364684,25219,8,
25190,16,25191,546000,25193,3364684,25312,6,
25290,14,25291,858000,25293,3364932,25414,5,
25390,14,25391,858000,25393,3365396,25516,10,
25491,23,25492,858000,25493,3365896,25614,23,
25593,36,25594,1586000,25596,3363776,25718,20,
25694,27,25695,1586000,25696,3364024,25821,25,
25795,33,25797,1586000,25802,3364280,25930,21,
25896,30,25901,962000,25902,3363592,26037,25,
26000,40,26000,1586000,26002,3365576,26130,29,
26097,49,26097,1586000,26098,3368248,26220,15,
26198,24,26199,1170000,26200,3367312,26344,7,
26303,16,26304,442000,26307,3367560,26430,8,
26400,19,26405,754000,26407,3367560,26528,8,
26501,22,26503,858000,26506,3367976,26633,7,
26604,16,26606,442000,26608,3368224,26742,13,
26708,29,26709,858000,26711,3370356,26833,12,
26805,27,26806,442000,26808,3366468,26938,9,
26911,27,26912,858000,26914,3366468,27020,8,
27005,87,27006,754000,27007,3366420,27118,14,
27105,26,27105,858000,27106,3367140,27218,19,
27206,40,27206,1066000,27208,3369124,27317,16,
27306,27,27306,1170000,27307,3366456,27451,31,
27421,0,27427,1586000,27436,3366204,27538,29,
27509,42,27510,1586000,27511,3366204,27624,24,
27609,32,27609,1586000,27610,3366436,27733,23,
27709,32,27710,1586000,27711,3367904,27831,23,
27810,30,27811,1586000,27812,3367340,27924,26,
27911,87,27912,1586000,27913,3368084,28017,31,
28010,38,28010,1066000,28010,3370960,28117,40,
28110,43,28110,1066000,28110,3373256,28219,27,
28210,33,28210,1170000,28211,3397528,28319,24,
28310,32,28311,1066000,28311,3492640,28418,24,
28411,29,28411,1066000,28411,3586916,28517,24,
28611,35,28511,1170000,28512,3584116,28617,28,
28711,0,28611,754000,28611,3583880,28715,9,
28811,22,28711,858000,28712,3584460,28815,11,
28913,87,28812,754000,28812,3582908,28919,6,
29013,0,28913,1170000,28913,3587268,29032,17,
29114,41,29014,1274000,29015,3584392,29150,19,
29214,36,29115,650000,29117,3579804,29250,20,
29315,24,29215,1378000,29216,3581172,29332,16,
29415,31,29316,1586000,29317,3578016,29433,23,
29515,32,29415,1586000,29416,3571568,29541,23,
29616,29,29516,1586000,29517,3502288,29634,20,
29716,19,29616,1586000,29619,3489912,29733,14,
29817,31,29717,1586000,29717,3492600,29837,24,
29917,37,29818,1586000,29819,3494100,29934,25,
30017,25,29917,1586000,29918,3498580,30038,16,
30118,29,30018,1586000,30019,3498828,30137,21,
30218,20,30118,1586000,30119,3503540,30237,15,
30318,32,30218,1586000,30219,3505524,30340,24,
30418,16,30319,1586000,30320,3497044,30437,12,
30519,22,30419,1586000,30420,3496516,30538,17,
30619,26,30519,1586000,30520,3498460,30636,20,
30720,29,30620,1586000,30621,3499964,30736,22,
30820,37,30720,1586000,30721,3503436,30838,26,
30920,24,30821,1586000,30822,3505752,30936,17,
31021,30,30921,1586000,30922,3506248,31038,22,
31121,24,31022,1586000,31023,3508728,31137,16,
31222,22,31122,1586000,31123,3508192,31240,16,
31322,32,31222,1586000,31223,3508192,31339,25,
31422,33,31323,1586000,31324,3505400,31438,23,
