App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:50:40 nachm.","6 min 57 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
19859,20,19860,1170000,19861,3372392,19879,9,
19961,16,19963,442000,19965,3372640,19992,7,
20060,20,20061,1170000,20062,3372888,20079,9,
20161,16,20162,1170000,20163,3373136,20180,8,
20261,20,20262,1170000,20263,3373384,20280,11,
20362,13,20362,1170000,20364,3373632,20382,8,
20462,24,20462,1378000,20464,3372564,20491,15,
20563,20,20564,962000,20565,3372728,20590,7,
20663,17,20664,1066000,20665,3372728,20688,7,
20764,17,20765,962000,20766,3372976,20789,8,
20864,20,20865,962000,20866,3373224,20886,7,
20964,22,20965,1378000,20966,3372092,20982,12,
21065,12,21065,1274000,21067,3372340,21083,8,
21165,15,21166,1170000,21167,3372096,21185,8,
21266,20,21267,858000,21268,3372344,21292,8,
21366,22,21367,858000,21369,3373088,21389,8,
21467,21,21467,1378000,21468,3371760,21484,11,
21567,14,21568,858000,21569,3372108,21594,7,
21667,25,21668,1066000,21669,3372604,21687,10,
21768,14,21769,962000,21770,3372604,21789,6,
21868,18,21869,1170000,21870,3373100,21890,9,
21969,24,21969,1170000,21970,3371868,21988,11,
22069,16,22070,962000,22071,3372116,22091,8,
22170,16,22170,1170000,22172,3372116,22201,8,
22271,20,22271,858000,22273,3372364,22293,8,
22371,22,22372,962000,22373,3372364,22392,9,
22474,17,22475,858000,22476,3372852,22496,8,
22573,30,22574,1378000,22576,3372016,22591,16,
22674,17,22676,858000,22677,3371984,22697,10,
22775,16,22776,858000,22777,3372232,22796,6,
22876,21,22877,546000,22879,3372480,22905,6,
22976,23,22977,858000,22979,3372728,22998,8,
23077,23,23078,858000,23079,3372236,23103,10,
23177,16,23178,858000,23180,3372236,23199,6,
23278,11,23279,858000,23280,3372484,23301,5,
23378,12,23379,962000,23380,3372732,23399,5,
23479,13,23479,1066000,23481,3372732,23499,7,
23579,23,23579,1378000,23580,3372108,23596,13,
23681,18,23683,858000,23685,3372108,23706,10,
23780,24,23781,858000,23782,3372108,23802,9,
23881,15,23881,962000,23883,3372356,23901,8,
23983,19,23984,442000,23986,3372852,24011,7,
24082,31,24082,858000,24084,3372212,24104,10,
24182,19,24183,1066000,24184,3372460,24201,7,
24285,12,24287,442000,24289,3372708,24324,5,
24385,27,24387,442000,24389,3372956,24413,8,
24487,25,24488,754000,24490,3373452,24512,11,
24586,24,24587,1066000,24588,3371984,24606,12,
24688,15,24689,442000,24692,3372480,24723,6,
24789,22,24790,442000,24793,3372480,24821,6,
24888,26,24889,858000,24890,3372728,24911,8,
24990,23,24991,546000,24992,3372976,25024,9,
25089,25,25090,858000,25091,3372632,25117,10,
25191,16,25192,442000,25201,3372632,25227,7,
25291,24,25292,546000,25294,3372632,25320,6,
25391,16,25393,754000,25394,3372880,25417,9,
25491,17,25492,962000,25494,3372880,25515,7,
25592,24,25592,1378000,25594,3372108,25611,15,
25694,16,25695,442000,25697,3372356,25726,5,
25796,27,25797,442000,25799,3372604,25829,8,
25894,21,25895,962000,25896,3373100,25916,11,
25997,15,25998,442000,26000,3373348,26028,4,
26096,24,26097,650000,26099,3372512,26127,9,
26196,17,26197,858000,26199,3372512,26228,7,
26299,16,26300,442000,26302,3372760,26329,7,
26399,21,26401,442000,26403,3373008,26431,7,
26500,20,26501,442000,26503,3372860,26533,8,
26599,29,26599,1170000,26601,3372460,26621,14,
26701,16,26702,442000,26705,3372460,26736,8,
26800,28,26801,858000,26802,3372708,26831,11,
26902,24,26904,442000,26910,3373560,26941,9,
27004,26,27005,442000,27008,3373560,27038,9,
27102,23,27103,1066000,27110,3373808,27168,13,
27204,42,27204,1482000,27206,3373284,27226,23,
27303,18,27304,1586000,27304,3373284,27328,12,
27406,19,27407,442000,27409,3373532,27436,4,
27505,21,27505,962000,27507,3373516,27527,9,
27605,16,27606,1170000,27607,3373812,27626,9,
27706,19,27707,1274000,27708,3373024,27731,11,
27806,21,27807,1066000,27808,3373024,27828,9,
27908,22,27909,442000,27911,3373272,27941,9,
28007,20,28008,962000,28009,3373768,28033,8,
28108,19,28109,858000,28110,3374016,28136,7,
28210,18,28211,442000,28214,3374016,28244,7,
28309,27,28309,1170000,28311,3373180,28341,11,
28409,16,28410,858000,28412,3373180,28434,6,
28511,18,28513,442000,28515,3373100,28547,8,
28611,25,28611,858000,28613,3373472,28642,8,
28712,18,28714,546000,28716,3373720,28748,7,
28812,33,28813,1170000,28816,3372932,28843,13,
28914,20,28916,442000,28918,3372932,28947,8,
29013,17,29015,442000,29017,3372932,29045,7,
29114,20,29115,442000,29117,3373428,29144,7,
29216,22,29217,442000,29219,3373428,29250,8,
29314,28,29315,1170000,29316,3372856,29340,12,
29416,22,29417,754000,29418,3373104,29443,7,
29517,18,29519,442000,29521,3373352,29550,6,
29616,17,29617,962000,29618,3373472,29638,7,
29717,14,29718,962000,29719,3373968,29740,6,
29818,16,29818,1378000,29819,3373476,29836,9,
29918,16,29919,1274000,29920,3373724,29937,10,
30020,10,30021,858000,30022,3373724,30043,5,
30122,15,30123,442000,30126,3373972,30153,6,
30222,19,30222,962000,30224,3373972,30243,8,
30322,20,30324,442000,30326,3372788,30350,11,
30424,20,30425,442000,30427,3373036,30454,7,
30525,21,30526,962000,30527,3373348,30544,8,
30624,87,30624,754000,30625,3373472,30634,10,
30725,30,30726,1066000,30726,3375368,30737,13,
30826,33,30826,1170000,30827,3374688,30836,19,
30926,20,30927,1066000,30927,3374936,30936,10,
31030,0,31031,1066000,31033,3374564,31052,11,
31127,22,31128,1274000,31129,3374784,31146,10,
31229,20,31229,1170000,31231,3375776,31255,11,
31329,31,31330,1066000,31331,3375384,31349,15,
31431,15,31432,546000,31434,3375508,31459,8,
31531,22,31532,858000,31533,3375876,31556,6,
31631,87,31631,754000,31632,3375972,31642,8,
31730,26,31730,1066000,31731,3379008,31737,17,
31830,39,31831,1170000,31831,3381984,31836,32,
31931,32,31931,1066000,31932,3407780,31938,26,
32031,27,32031,1066000,32032,3510700,32038,22,
32131,30,32132,1066000,32132,3587464,32138,24,
32232,41,32232,1170000,32232,3581512,32238,32,
32332,0,32332,754000,32333,3583520,32336,14,
32433,87,32433,962000,32434,3586572,32438,17,
32533,0,32533,754000,32534,3579052,32537,8,
32635,27,32636,962000,32637,3583900,32645,13,
32735,87,32736,1378000,32738,3584868,32767,63,
32835,71,32836,1586000,32837,3584684,32854,68,
32937,0,32937,1586000,32938,3584520,32952,32,
33037,87,33037,1586000,33040,3577020,33058,52,
33137,50,33138,1586000,33139,3572856,33156,51,
33237,0,33238,1586000,33239,3576180,33253,35,
33338,87,33339,1170000,33340,3575448,33360,53,
33439,0,33439,1274000,33440,3495684,33468,30,
33541,87,33541,1586000,33542,3505588,33560,61,
33641,56,33641,1586000,33642,3506668,33661,59,
33741,0,33742,1586000,33744,3505752,33761,26,
33841,87,33842,1586000,33843,3504196,33862,52,
33942,54,33943,1586000,33944,3504424,33963,57,
34042,0,34043,1586000,34044,3504672,34058,24,
34143,55,34144,1482000,34145,3505112,34161,30,
34244,67,34246,1586000,34247,3505608,34269,34,
34346,56,34347,1586000,34348,3501644,34363,31,
34445,55,34446,1586000,34447,3503036,34466,29,
34547,47,34549,1586000,34550,3504508,34566,31,
34646,87,34647,1586000,34648,3505160,34667,41,
34750,0,34751,1586000,34752,3503660,34767,36,
34847,87,34848,1586000,34849,3505176,34865,25,
34948,0,34948,1274000,34950,3505920,34967,35,
35048,54,35049,1586000,35050,3505036,35066,37,
35148,87,35149,1586000,35150,3505308,35167,35,
35249,0,35250,1586000,35252,3506012,35271,41,
35350,87,35351,1482000,35352,3504624,35370,59,
35450,0,35451,1586000,35452,3506640,35465,25,
35553,54,35554,754000,35555,3506880,35577,29,
35652,87,35652,1586000,35653,3507376,35675,32,
