App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 08:48:31 nachm.","6 min 40 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
112363,87,112363,1586000,112364,3511312,112593,18,
112464,54,112464,1586000,112464,3511108,112688,66,
112565,0,112566,962000,112567,3511988,112789,32,
112665,87,112666,1378000,112667,3512732,112883,26,
112765,0,112766,1586000,112768,3511236,112987,57,
112866,87,112867,1586000,112869,3510324,113088,52,
112967,70,112967,1586000,112968,3512556,113191,27,
113067,50,113068,1586000,113069,3513092,113290,66,
113168,0,113168,1586000,113169,3514844,113391,57,
113268,87,113269,1586000,113270,3515440,113506,17,
113369,57,113370,1586000,113371,3512428,113594,46,
113469,0,113470,1586000,113471,3513620,113701,48,
113571,72,113571,1586000,113573,3513248,113779,49,
113673,87,113673,1586000,113675,3513744,113895,42,
113772,0,113772,1586000,113773,3513528,113999,37,
113874,72,113874,1586000,113876,3513664,114099,50,
113974,55,113975,1586000,113976,3511056,114195,37,
114074,82,114075,1586000,114076,3511652,114292,38,
114175,59,114176,1586000,114177,3504744,114393,25,
114276,63,114276,1586000,114277,3504304,114501,31,
114376,41,114377,1482000,114378,3505940,114594,40,
114477,61,114478,1378000,114480,3510792,114698,32,
114578,67,114578,1586000,114579,3511272,114798,39,
114680,54,114680,1378000,114682,3512712,114902,37,
114780,87,114780,1586000,114782,3512568,115002,35,
114880,0,114881,1586000,114882,3512792,115099,32,
114981,51,114981,1586000,114982,3513388,115199,36,
115081,87,115082,1586000,115084,3511820,115305,37,
115182,0,115182,1482000,115183,3511796,115404,41,
115282,87,115283,1586000,115284,3512488,115500,50,
115382,53,115383,1586000,115384,3513048,115609,50,
115483,0,115484,1586000,115485,3514216,115714,34,
115584,70,115585,1586000,115587,3512324,115805,38,
115687,52,115688,754000,115690,3513320,115909,61,
115788,67,115788,1586000,115789,3514312,116006,29,
115888,87,115889,1586000,115890,3515108,116069,32,
115989,0,115989,1586000,115991,3515544,116165,74,
116039,37,116039,1378000,116046,3516288,116266,43,
116139,87,116140,1586000,116141,3514316,116368,22,
116239,54,116240,1586000,116241,3513624,116470,36,
116343,0,116344,858000,116346,3516484,116561,42,
116441,56,116441,1378000,116443,3516756,116664,39,
116541,60,116542,1586000,116543,3516520,116757,41,
116641,87,116642,1586000,116643,3516088,116878,31,
116742,0,116742,1586000,116744,3516708,116953,37,
116843,99,116844,1586000,116845,3518072,117065,38,
116943,77,116943,1586000,116944,3518792,117178,31,
117044,0,117044,1586000,117045,3518696,117271,41,
117145,87,117145,1170000,117147,3518912,117374,34,
117245,0,117246,1482000,117247,3514668,117480,50,
117345,49,117346,1586000,117347,3502860,117558,36,
117445,87,117445,1586000,117445,3507724,117676,35,
117546,0,117546,1586000,117547,3508216,117769,33,
117649,61,117650,1586000,117651,3507952,117884,39,
117750,49,117750,1586000,117752,3507368,117973,36,
117850,62,117851,1586000,117852,3507568,118072,32,
117951,64,117951,1586000,117954,3508164,118185,30,
118051,61,118052,1482000,118053,3507032,118301,19,
118151,58,118152,1066000,118154,3508008,118382,33,
118252,37,118253,858000,118255,3508752,118479,43,
118353,65,118354,1274000,118355,3506388,118579,31,
118458,69,118458,1586000,118460,3506736,118674,37,
118554,56,118555,1586000,118561,3505940,118779,31,
118654,62,118654,1586000,118655,3506964,118880,35,
118755,48,118756,1586000,118758,3508964,118991,36,
118855,60,118855,1586000,118856,3506500,119078,28,
118956,64,118957,1586000,118958,3506356,119178,37,
119057,53,119057,1586000,119058,3506212,119278,23,
119158,64,119158,1586000,119160,3506956,119400,40,
119258,38,119258,1586000,119259,3506916,119478,38,
119359,64,119361,1586000,119362,3507412,119583,35,
119459,67,119459,1586000,119461,3505684,119689,29,
119563,60,119564,1586000,119565,3505648,119783,17,
119663,60,119664,858000,119665,3507632,119890,32,
119764,32,119764,1170000,119766,3508624,119983,51,
119863,58,119864,1586000,119867,3501332,120090,41,
119965,81,119966,1586000,119967,3504268,120185,42,
120065,69,120065,1586000,120067,3506304,120282,23,
120165,66,120166,1586000,120167,3508784,120399,37,
120265,37,120266,1586000,120267,3509332,120520,57,
120367,60,120367,1586000,120369,3504764,120573,50,
120467,89,120467,1586000,120468,3511352,120675,49,
120567,77,120568,1586000,120568,3508580,120822,37,
120668,87,120668,1586000,120668,3509180,120878,50,
120780,0,120782,1586000,120786,3490224,120976,45,
120868,82,120869,1586000,120869,3520132,121094,41,
120969,66,120970,1586000,120970,3541736,121191,44,
121070,68,121071,1586000,121072,3526480,121293,36,
121172,69,121172,1586000,121174,3528704,121400,34,
121273,55,121274,1586000,121275,3536716,121492,36,
121374,63,121375,1586000,121376,3541428,121596,37,
121474,58,121474,1586000,121476,3542420,121691,34,
121575,63,121575,1586000,121577,3541676,121793,24,
121674,55,121675,1586000,121676,3540820,121915,47,
121775,39,121776,1586000,121777,3540820,121994,48,
121875,79,121876,1586000,121877,3544016,122102,44,
121976,78,121977,1586000,121978,3545704,122206,48,
122077,70,122077,1586000,122079,3546748,122297,35,
122182,79,122183,1586000,122184,3541552,122398,41,
122278,53,122278,1586000,122279,3523980,122507,48,
122379,67,122379,1586000,122381,3530500,122600,33,
122481,80,122481,1586000,122486,3531244,122703,32,
122582,61,122582,1586000,122584,3529784,122800,26,
122682,61,122683,1274000,122685,3530480,122902,31,
122783,44,122784,1378000,122785,3529052,123000,42,
122883,53,122884,1586000,122885,3529496,123105,34,
122984,70,122985,1586000,122986,3529760,123203,36,
123084,64,123085,1586000,123088,3532640,123303,27,
123186,64,123186,1586000,123187,3533116,123408,32,
123286,43,123287,1586000,123288,3529564,123504,40,
123387,56,123387,1586000,123389,3522868,123605,32,
123487,67,123488,1586000,123489,3528568,123707,43,
123588,56,123589,1586000,123590,3527884,123811,34,
123688,72,123689,1586000,123690,3531084,123914,52,
123790,50,123790,1586000,123792,3532324,124009,51,
123890,83,123891,1586000,123893,3525756,124112,37,
123991,81,123992,1586000,123993,3529684,124212,42,
124091,63,124092,1586000,124096,3530728,124309,29,
124192,68,124192,1586000,124194,3530884,124420,32,
124292,43,124292,1586000,124295,3531780,124513,41,
124394,63,124395,1274000,124399,3523152,124612,29,
