App,Package,Start Time,Duration,Filename
"System",,"Jan. 3, 2018 @ 09:15:02 nachm.","7 min 20 sec",""

Time  [ms],"CPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
134073,32,133980,1170000,133981,3520476,133998,17,
134174,15,134074,1170000,134075,3515368,134093,18,
134274,37,134175,1170000,134176,3515864,134200,9,
134374,34,134275,1378000,134276,3519784,134292,25,
134479,19,134375,1586000,134377,3518952,134391,24,
134576,30,134480,1170000,134481,3518804,134498,15,
134676,42,134576,1274000,134578,3518136,134595,14,
134776,23,134676,1586000,134677,3519300,134696,22,
134877,22,134777,1586000,134778,3519328,134793,16,
134978,42,134877,1586000,134878,3521420,134896,17,
135078,54,134978,1586000,134979,3520944,134995,29,
135179,28,135079,1586000,135080,3519564,135099,40,
135280,17,135180,1586000,135181,3519668,135195,20,
135381,21,135280,1482000,135281,3519668,135298,13,
135482,46,135381,1170000,135382,3521068,135401,11,
135582,31,135482,1586000,135483,3520480,135499,27,
135682,25,135582,1586000,135583,3521096,135597,22,
135783,22,135682,1586000,135683,3516972,135697,20,
135884,37,135783,1274000,135784,3517716,135799,14,
135985,29,135884,1274000,135886,3522924,135904,21,
136085,30,135985,1170000,135986,3522780,136011,17,
136186,20,136086,1170000,136087,3521844,136105,16,
136287,28,136187,1170000,136188,3520612,136205,12,
136387,32,136287,1170000,136288,3521840,136307,17,
136488,16,136388,1482000,136389,3521792,136405,20,
136589,27,136488,1482000,136490,3524984,136516,13,
136691,14,136589,1586000,136590,3522100,136606,20,
136791,31,136692,1170000,136697,3522240,136716,9,
136891,31,136791,1378000,136792,3521688,136809,18,
136992,25,136892,1170000,136893,3516628,136912,17,
137092,36,136992,1170000,136994,3516876,137012,14,
137193,39,137093,1170000,137094,3518244,137112,21,
137293,32,137193,1378000,137194,3519236,137210,21,
137395,28,137294,1586000,137295,3519732,137309,21,
137495,28,137395,1170000,137397,3523204,137415,17,
137595,15,137495,1066000,137496,3523700,137513,14,
137696,43,137596,1170000,137597,3523948,137631,8,
137796,28,137696,1378000,137697,3523420,137714,28,
137897,21,137797,1170000,137798,3516268,137814,16,
137998,28,137898,1274000,137899,3517224,137915,12,
138098,34,137999,1170000,138000,3519452,138016,16,
138198,35,138098,1586000,138099,3520444,138117,20,
138299,21,138199,1586000,138200,3519856,138214,22,
138399,14,138300,1274000,138301,3523180,138316,14,
138500,28,138400,1170000,138401,3523180,138417,7,
138601,52,138501,1482000,138502,3524024,138522,19,
138702,26,138602,1586000,138603,3519980,138619,35,
138803,26,138702,1586000,138703,3518220,138719,20,
138903,39,138803,1586000,138804,3519180,138823,19,
