execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.013209,1,1024,1024,1008,1,1008
0.049412,1,2048,2048,1024,1,1024
0.022,1,1024,1024,1008,1,1008
0.028874,1,2048,2048,1024,1,1024
0.020878,1,1024,1024,1008,1,1008
0.020138,1,2048,2048,1024,1,1024
0.01676,1,1024,1024,1008,1,1008
0.026187,1,2048,2048,1024,1,1024
0.018566,1,1024,1024,1008,1,1008
0.022808,1,2048,2048,1024,1,1024
0.011981,1,1024,1024,1008,1,1008
0.031105,1,2048,2048,1024,1,1024
0.015705,1,1024,1024,1008,1,1008
0.023112,1,2048,2048,1024,1,1024
0.017666,1,1024,1024,1008,1,1008
0.028202,1,2048,2048,1024,1,1024
0.027261,1,1024,1024,1008,1,1008
0.025086,1,2048,2048,1024,1,1024
0.013611,1,1024,1024,1008,1,1008
0.029153,1,2048,2048,1024,1,1024
0.024939,1,1024,1024,1008,1,1008
0.027689,1,2048,2048,1024,1,1024
0.026804,1,1024,1024,1008,1,1008
0.023986,1,2048,2048,1024,1,1024
0.015505,1,1024,1024,1008,1,1008
0.038263,1,2048,2048,1024,1,1024
0.019762,1,1024,1024,1008,1,1008
0.036293,1,2048,2048,1024,1,1024
0.016755,1,1024,1024,1008,1,1008
0.037193,1,2048,2048,1024,1,1024
0.021185,1,1024,1024,1008,1,1008
0.023589,1,2048,2048,1024,1,1024
0.021694,1,1024,1024,1008,1,1008
0.038002,1,2048,2048,1024,1,1024
0.015472,1,1024,1024,1008,1,1008
0.030845,1,2048,2048,1024,1,1024
0.024371,1,1024,1024,1008,1,1008
0.031771,1,2048,2048,1024,1,1024
0.015085,1,1024,1024,1008,1,1008
0.028047,1,2048,2048,1024,1,1024
0.0102,1,1024,1024,1008,1,1008
0.024825,1,2048,2048,1024,1,1024
0.021038,1,1024,1024,1008,1,1008
0.029428,1,2048,2048,1024,1,1024
0.023253,1,1024,1024,1008,1,1008
0.027651,1,2048,2048,1024,1,1024
0.020652,1,1024,1024,1008,1,1008
0.034106,1,2048,2048,1024,1,1024
0.017448,1,1024,1024,1008,1,1008
0.02958,1,2048,2048,1024,1,1024
0.029263,1,1024,1024,1008,1,1008
0.022693,1,2048,2048,1024,1,1024
0.019974,1,1024,1024,1008,1,1008
0.029192,1,2048,2048,1024,1,1024
0.014448,1,1024,1024,1008,1,1008
0.024775,1,2048,2048,1024,1,1024
0.01644,1,1024,1024,1008,1,1008
0.029945,1,2048,2048,1024,1,1024
0.017657,1,1024,1024,1008,1,1008
0.029437,1,2048,2048,1024,1,1024
0.029711,1,1024,1024,1008,1,1008
0.027752,1,2048,2048,1024,1,1024
0.022565,1,1024,1024,1008,1,1008
0.034569,1,2048,2048,1024,1,1024
0.018591,1,1024,1024,1008,1,1008
0.027271,1,2048,2048,1024,1,1024
0.012205,1,1024,1024,1008,1,1008
0.02428,1,2048,2048,1024,1,1024
0.015789,1,1024,1024,1008,1,1008
0.025838,1,2048,2048,1024,1,1024
0.021712,1,1024,1024,1008,1,1008
0.032117,1,2048,2048,1024,1,1024
0.021521,1,1024,1024,1008,1,1008
0.021325,1,2048,2048,1024,1,1024
0.02311,1,1024,1024,1008,1,1008
0.042599,1,2048,2048,1024,1,1024
0.020785,1,1024,1024,1008,1,1008
0.038048,1,2048,2048,1024,1,1024
0.022288,1,1024,1024,1008,1,1008
0.032309,1,2048,2048,1024,1,1024
0.025979,1,1024,1024,1008,1,1008
0.025339,1,2048,2048,1024,1,1024
0.020525,1,1024,1024,1008,1,1008
0.024611,1,2048,2048,1024,1,1024
0.013657,1,1024,1024,1008,1,1008
0.025916,1,2048,2048,1024,1,1024
0.013282,1,1024,1024,1008,1,1008
0.019243,1,2048,2048,1024,1,1024
0.016394,1,1024,1024,1008,1,1008
0.027038,1,2048,2048,1024,1,1024
0.018995,1,1024,1024,1008,1,1008
0.034486,1,2048,2048,1024,1,1024
0.02595,1,1024,1024,1008,1,1008
0.032939,1,2048,2048,1024,1,1024
0.020817,1,1024,1024,1008,1,1008
0.026422,1,2048,2048,1024,1,1024
0.022789,1,1024,1024,1008,1,1008
0.016909,1,2048,2048,1024,1,1024
0.013079,1,1024,1024,1008,1,1008
0.033474,1,2048,2048,1024,1,1024
0.014312,1,1024,1024,1008,1,1008
0.017408,1,2048,2048,1024,1,1024
0.016134,1,1024,1024,1008,1,1008
0.028408,1,2048,2048,1024,1,1024
0.02614,1,1024,1024,1008,1,1008
0.032098,1,2048,2048,1024,1,1024
0.017646,1,1024,1024,1008,1,1008
0.036122,1,2048,2048,1024,1,1024
0.023853,1,1024,1024,1008,1,1008
0.029264,1,2048,2048,1024,1,1024
0.016971,1,1024,1024,1008,1,1008
0.029232,1,2048,2048,1024,1,1024
0.018399,1,1024,1024,1008,1,1008
0.021713,1,2048,2048,1024,1,1024
0.024208,1,1024,1024,1008,1,1008
0.027609,1,2048,2048,1024,1,1024
0.015957,1,1024,1024,1008,1,1008
0.028673,1,2048,2048,1024,1,1024
0.018995,1,1024,1024,1008,1,1008
0.024386,1,2048,2048,1024,1,1024
0.017517,1,1024,1024,1008,1,1008
0.018547,1,2048,2048,1024,1,1024
0.012889,1,1024,1024,1008,1,1008
0.0218,1,2048,2048,1024,1,1024
0.010388,1,1024,1024,1008,1,1008
0.039394,1,2048,2048,1024,1,1024
0.022563,1,1024,1024,1008,1,1008
0.038993,1,2048,2048,1024,1,1024
0.026137,1,1024,1024,1008,1,1008
0.023854,1,2048,2048,1024,1,1024
0.032488,1,1024,1024,1008,1,1008
0.014174,1,2048,2048,1024,1,1024
0.020784,1,1024,1024,1008,1,1008
0.025532,1,2048,2048,1024,1,1024
0.0209,1,1024,1024,1008,1,1008
0.028835,1,2048,2048,1024,1,1024
0.022968,1,1024,1024,1008,1,1008
0.017502,1,2048,2048,1024,1,1024
