Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
18671,310000,33779,51,33780,28,33782,1222972,0,33791,22
18771,310000,33880,51,33882,21,33884,1223752,0,33892,21
18872,310000,33981,51,33983,30,33984,1224372,0,33992,19
18973,310000,34081,51,34083,28,34086,1222540,0,34097,23
19074,310000,34182,51,34184,28,34185,1223000,0,34190,18
19175,310000,34282,48,34284,17,34285,1223496,0,34291,14
19275,310000,34383,48,34384,23,34385,1223992,0,34389,20
19378,310000,34486,48,34487,21,34488,1222564,0,34493,19
19479,310000,34587,48,34588,33,34589,1226304,672.9892473118,34597,32
19579,310000,34688,48,34689,28,34690,1231636,6004.9892473118,34695,25
19681,400000,34789,48,34791,30,34792,1231492,5860.9892473118,34798,25
19782,400000,34890,48,34892,46,34893,1229836,4204.9892473118,34900,41
19883,400000,34991,48,34993,34,34994,1229704,4072.9892473118,35001,36
19984,400000,35092,48,35095,28,35103,1234272,8640.9892473118,35110,24
20084,400000,35192,48,35194,38,35194,1238864,13232.9892473118,35199,33
20185,310000,35293,48,35296,22,35308,1239484,13852.9892473118,35328,15
20286,310000,35394,48,35396,29,35397,1238184,12552.9892473118,35405,23
20388,310000,35497,60,35499,26,35501,1238384,12752.9892473118,35508,21
20489,310000,35597,60,35598,23,35600,1238712,13080.9892473118,35607,18
20590,310000,35698,60,35700,21,35702,1239332,13700.9892473118,35712,16
20689,310000,35797,60,35798,25,35799,1237580,11948.9892473118,35804,20
20790,310000,35899,60,35902,21,35904,1237828,12196.9892473118,35911,20
20892,310000,36000,60,36003,21,36004,1238516,12884.9892473118,36010,10
20993,310000,36101,60,36104,23,36106,1239088,13456.9892473118,36113,19
21098,310000,36206,60,36208,21,36209,1238032,12400.9892473118,36214,13
21199,310000,36307,60,36308,19,36308,1238280,12648.9892473118,36313,17
21300,310000,36408,60,36410,20,36411,1238652,13020.9892473118,36418,17
21401,310000,36509,45,36511,20,36512,1239272,13640.9892473118,36519,13
21502,310000,36622,45,36627,28,36629,1237644,12012.9892473118,36639,20
21603,310000,36711,45,36713,29,36714,1238140,12508.9892473118,36724,24
21704,310000,36812,45,36814,23,36816,1238636,13004.9892473118,36825,18
21805,310000,36914,45,36916,31,36918,1238884,13252.9892473118,36924,19
21908,310000,37017,45,37020,31,37023,1237872,12240.9892473118,37028,26
22009,310000,37117,45,37118,17,37119,1238252,12620.9892473118,37125,18
22110,310000,37218,45,37219,57,37220,1240384,14752.9892473118,37226,57
22210,310000,37318,45,37320,68,37321,1228780,3148.9892473118,37346,69
22311,310000,37419,45,37421,71,37422,1229624,3992.9892473118,37429,68
22412,400000,37520,45,37522,38,37524,1231064,5432.9892473118,37532,42
22513,400000,37621,55,37623,50,37624,1232812,7180.9892473118,37630,48
22614,400000,37722,55,37724,51,37726,1237524,11892.9892473118,37739,50
22714,310000,37823,55,37826,58,37828,1277732,52100.9892473118,37839,56
22815,310000,37923,55,37926,50,37928,1329500,103868.989247312,37943,48
22916,310000,38024,55,38028,58,38031,1369628,143996.989247312,38052,58
23017,310000,38126,55,38129,54,38131,1394268,168636.989247312,38156,53
23118,310000,38226,55,38228,80,38229,1384536,158904.989247312,38241,79
23218,310000,38326,55,38327,47,38328,1284136,58504.9892473118,38335,46
23319,310000,38426,55,38427,32,38428,1284632,59000.9892473118,38434,32
23419,310000,38528,55,38530,20,38531,1295472,69840.9892473118,38540,20
23520,310000,38627,55,38629,60,38629,1303852,78220.9892473118,38637,59
23620,310000,38730,55,38732,57,38733,1304712,79080.9892473118,38740,56
23721,310000,38828,55,38829,39,38830,1305464,79832.9892473118,38837,39
23821,310000,38929,55,38930,31,38931,1306172,80540.9892473118,38937,32
23922,310000,39031,55,39032,29,39033,1306104,80472.9892473118,39038,29
24022,310000,39130,55,39132,25,39134,1307252,81620.9892473118,39152,37
24122,310000,39230,34,39231,78,39232,1308492,82860.9892473118,39256,76
24228,310000,39336,34,39351,77,39360,1314816,89184.9892473118,39382,78
24328,310000,39439,34,39443,85,39445,1329200,103568.989247312,39458,85
24428,310000,39537,34,39538,97,39538,1330860,105228.989247312,39558,97
24529,310000,39637,34,39638,100,39639,1329944,104312.989247312,39671,100
24629,310000,39737,34,39738,97,39738,1330564,104932.989247312,39748,97
24729,310000,39837,0,39838,100,39838,1330812,105180.989247312,39842,100
24830,310000,39938,0,39939,100,39939,1331720,106088.989247312,39943,97
24932,310000,40039,0,40041,97,40041,1332836,107204.989247312,40076,100
25034,310000,40142,0,40143,100,40144,1331952,106320.989247312,40161,100
25138,310000,40251,0,40253,90,40258,1334480,108848.989247312,40266,90
25238,310000,40346,0,40348,100,40349,1335916,110284.989247312,40354,100
25339,310000,40446,0,40449,100,40450,1336884,111252.989247312,40469,100
25439,310000,40547,0,40563,100,40564,1337720,112088.989247312,40585,100
25539,310000,40647,0,40648,100,40654,1336292,110660.989247312,40659,100
25640,310000,40747,0,40748,100,40753,1336284,110652.989247312,40759,100
25740,310000,40848,0,40849,100,40854,1336356,110724.989247312,40859,100
25849,310000,40957,30,40958,100,40959,1337100,111468.989247312,40971,100
25947,310000,41055,30,41056,100,41057,1337552,111920.989247312,41071,100
26048,310000,41155,30,41157,97,41158,1335632,110000.989247312,41172,97
26149,310000,41257,30,41258,100,41261,1336500,110868.989247312,41300,100
26199,310000,41307,30,41308,100,41309,1336772,111140.989247312,41313,100
26300,310000,41407,30,41408,97,41409,1337316,111684.989247312,41424,97
26400,310000,41508,0,41510,100,41511,1337316,111684.989247312,41540,100
26501,310000,41615,0,41617,97,41619,1337512,111880.989247312,41644,97
26603,310000,41711,0,41714,100,41719,1337640,112008.989247312,41738,100
