Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
12859,400000,21920,0,21923,43,21925,1208116,0,21939,32
12960,400000,22021,46,22024,31,22026,1208240,0,22046,23
13061,400000,22122,46,22124,30,22126,1208848,0,22141,20
13163,310000,22224,46,22226,23,22227,1209344,0,22242,20
13264,310000,22325,46,22327,33,22329,1208388,0,22344,27
13365,310000,22425,46,22426,23,22427,1208472,0,22434,15
13466,310000,22526,0,22528,27,22528,1209092,0,22536,18
13567,310000,22627,0,22628,25,22629,1209588,0,22636,18
13668,310000,22728,0,22729,35,22730,1208232,0,22744,24
13769,310000,22829,0,22830,23,22831,1208728,0,22842,16
13869,310000,22929,0,22931,26,22932,1208976,0,22946,18
13970,310000,23030,0,23032,22,23033,1209224,0,23047,17
14071,310000,23131,42,23134,25,23136,1210060,0,23180,20
14172,310000,23233,42,23234,35,23235,1208908,0,23248,22
14274,310000,23335,42,23337,20,23340,1209148,0,23357,18
14376,310000,23436,42,23438,30,23440,1209292,0,23461,24
14477,310000,23537,42,23541,33,23543,1209788,0,23574,20
14580,310000,23640,42,23641,46,23642,1207948,0,23647,35
14682,310000,23742,42,23747,21,23749,1208444,0,23763,18
14783,310000,23845,42,23848,28,23852,1209188,0,23871,21
14883,310000,23943,42,23945,23,23945,1209436,0,23954,15
14985,310000,24044,42,24046,18,24048,1210056,0,24093,15
15086,310000,24145,42,24146,30,24147,1209004,0,24163,23
15187,310000,24246,48,24248,30,24249,1209004,0,24261,17
15288,310000,24348,48,24349,30,24351,1209580,0,24364,22
15389,310000,24449,48,24456,45,24458,1210568,0,24477,37
15489,310000,24549,48,24551,43,24552,1209140,0,24563,32
15590,310000,24650,48,24652,17,24654,1209388,0,24663,15
15691,310000,24751,0,24752,26,24754,1209696,0,24770,21
15792,310000,24853,0,24855,25,24857,1210192,0,24866,21
15892,310000,24951,0,24953,23,24954,1210936,0,24960,16
15993,310000,25053,0,25060,29,25063,1209860,0,25081,21
16093,310000,25154,0,25155,23,25156,1209860,0,25169,22
16195,310000,25256,0,25259,32,25265,1209968,0,25283,23
16296,310000,25356,0,25358,28,25361,1210644,0,25379,19
16396,310000,25456,47,25457,42,25458,1208268,0,25462,33
16497,310000,25557,47,25558,21,25559,1208064,0,25564,15
16599,310000,25658,47,25660,29,25660,1208800,0,25665,23
16700,310000,25759,47,25761,20,25762,1209544,0,25769,15
16801,310000,25860,47,25862,22,25863,1210412,0,25874,14
16902,310000,25962,47,25964,30,25965,1209960,0,25977,21
17003,310000,26062,47,26064,31,26065,1209960,0,26077,20
17104,310000,26163,47,26164,25,26165,1209960,0,26172,20
17204,310000,26264,47,26265,21,26266,1210240,0,26278,15
