Time  [ms],GPU Frequency [KHz],Time  [ms],GPU Load [%],Time  [ms],CPU Load [%],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
293326,310000,293327,0,293328,100,293329,1381024,186691.148514851,293341,83,
293427,310000,293427,0,293429,100,293429,1380192,185859.148514851,293435,83,
293527,310000,293528,0,293529,100,293530,1380440,186107.148514851,293550,83,
293627,310000,293628,0,293630,100,293631,1380872,186539.148514851,293649,83,
293728,310000,293729,0,293730,100,293731,1381368,187035.148514851,293743,83,
293829,310000,293829,0,293831,100,293831,1381864,187531.148514851,293840,83,
293929,310000,293930,0,293931,100,293932,1379948,185615.148514851,293938,83,
294029,310000,294030,0,294031,100,294032,1380444,186111.148514851,294049,83,
294130,310000,294131,0,294132,100,294133,1381064,186731.148514851,294141,83,
294230,310000,294231,0,294232,100,294233,1381560,187227.148514851,294241,83,
294331,310000,294331,0,294333,97,294334,1382304,187971.148514851,294342,81,
294431,310000,294432,28,294433,100,294435,1380204,185871.148514851,294443,83,
294531,310000,294532,28,294534,100,294535,1380692,186359.148514851,294543,83,
294632,310000,294633,28,294635,100,294636,1381120,186787.148514851,294647,83,
294732,310000,294734,28,294735,97,294736,1381864,187531.148514851,294760,81,
294833,310000,294833,28,294842,100,294850,1382236,187903.148514851,294875,83,
294933,310000,294939,28,294941,100,294942,1379808,185475.148514851,294949,83,
295036,310000,295037,28,295038,97,295039,1380552,186219.148514851,295075,81,
295137,310000,295138,28,295139,100,295140,1380800,186467.148514851,295154,83,
295238,310000,295238,28,295240,100,295240,1381544,187211.148514851,295276,83,
295338,310000,295339,0,295342,100,295344,1381544,187211.148514851,295366,83,
295440,310000,295440,0,295444,100,295446,1382040,187707.148514851,295472,83,
295541,310000,295541,0,295543,100,295550,1380312,185979.148514851,295565,83,
295643,310000,295644,0,295645,100,295647,1380748,186415.148514851,295670,83,
295744,310000,295754,0,295757,97,295758,1381368,187035.148514851,295776,82,
295845,310000,295846,0,295847,100,295848,1381740,187407.148514851,295898,83,
295946,310000,295946,0,295948,100,295948,1382360,188027.148514851,295989,83,
296046,310000,296047,25,296048,100,296049,1380356,186023.148514851,296082,83,
296148,310000,296148,0,296149,100,296150,1380852,186519.148514851,296168,83,
296266,310000,296266,0,296268,97,296269,1381348,187015.148514851,296298,82,
296366,310000,296367,0,296368,100,296369,1381472,187139.148514851,296386,83,
296477,310000,296478,0,296479,100,296506,1380316,185983.148514851,296513,83,
296569,310000,296570,0,296573,100,296574,1377216,182883.148514851,296593,83,
296675,310000,296676,0,296678,100,296678,1363844,169511.148514851,296695,83,
296768,310000,296769,0,296770,100,296771,1355620,161287.148514851,296788,83,
296868,310000,296869,0,296870,97,296871,1349720,155387.148514851,296887,81,
296969,310000,296970,0,296971,100,296972,1345828,151495.148514851,297020,83,
297071,310000,297072,0,297076,100,297077,1321808,127475.148514851,297086,83,
297171,310000,297172,0,297179,97,297181,1311408,117075.148514851,297228,81,
297272,310000,297275,0,297286,100,297293,1307580,113247.148514851,297300,83,
297373,310000,297374,0,297376,100,297377,1307848,113515.148514851,297392,83,
297476,310000,297477,25,297478,100,297479,1309536,115203.148514851,297498,83,
297576,310000,297577,25,297585,100,297586,1307236,112903.148514851,297610,83,
297676,310000,297677,25,297686,100,297687,1306876,112543.148514851,297713,83,
297777,310000,297778,25,297779,100,297780,1307620,113287.148514851,297795,83,
297879,310000,297880,25,297881,97,297882,1308116,113783.148514851,297912,81,
297979,310000,297980,25,297982,100,297983,1306436,112103.148514851,298003,83,
298080,200000,298081,25,298082,100,298083,1307052,112719.148514851,298117,83,
298180,200000,298181,25,298182,100,298183,1307256,112923.148514851,298191,83,
298281,200000,298282,25,298284,100,298285,1307872,113539.148514851,298296,83,
298381,310000,298382,25,298385,100,298386,1308616,114283.148514851,298415,83,
298482,310000,298483,0,298484,100,298489,1307284,112951.148514851,298502,83,
298582,310000,298583,31,298584,97,298586,1307408,113075.148514851,298592,81,
298683,310000,298683,31,298685,100,298686,1307340,113007.148514851,298697,83,
298783,310000,298784,0,298786,100,298787,1307836,113503.148514851,298799,83,
298883,310000,298884,0,298886,100,298887,1308456,114123.148514851,298902,83,
298984,310000,298985,0,298986,100,298987,1306780,112447.148514851,298995,83,
299085,310000,299086,0,299088,100,299089,1307352,113019.148514851,299099,83,
299189,310000,299190,0,299191,97,299192,1307848,113515.148514851,299200,81,
299290,310000,299290,0,299292,95,299293,1308448,114115.148514851,299300,78,
299390,310000,299391,0,299393,92,299395,1309316,114983.148514851,299418,80,
299491,310000,299492,0,299494,95,299494,1307452,113119.148514851,299513,79,
299592,310000,299593,0,299594,97,299595,1307748,113415.148514851,299624,81,
299692,310000,299693,0,299694,100,299696,1308120,113787.148514851,299716,83,
299793,310000,299794,0,299795,100,299796,1308492,114159.148514851,299803,83,
299893,310000,299894,28,299896,100,299896,1306612,112279.148514851,299930,83,
299994,310000,299995,28,299996,97,299997,1307096,112763.148514851,300002,81,
300094,310000,300095,28,300096,100,300097,1307220,112887.148514851,300102,83,
300195,310000,300196,0,300197,100,300198,1307540,113207.148514851,300210,83,
300295,310000,300296,0,300297,100,300298,1308524,114191.148514851,300308,83,
300396,310000,300396,0,300398,95,300398,1306776,112443.148514851,300404,79,
300497,310000,300497,0,300498,100,300499,1307368,113035.148514851,300509,83,
300597,310000,300598,0,300600,97,300601,1308096,113763.148514851,300616,81,
300698,310000,300699,0,300701,95,300702,1309032,114699.148514851,300727,79,
300799,310000,300801,0,300802,100,300803,1307256,112923.148514851,300811,83,
300899,310000,300900,0,300902,100,300902,1307912,113579.148514851,300933,83,
301000,310000,301001,0,301002,100,301003,1308284,113951.148514851,301009,83,
301100,310000,301101,0,301103,100,301103,1308656,114323.148514851,301110,83,
301201,310000,301202,0,301203,100,301204,1308944,114611.148514851,301211,83,
301302,310000,301302,28,301304,100,301304,1307912,113579.148514851,301345,83,
301402,310000,301403,28,301404,100,301405,1309184,114851.148514851,301442,83,
301502,310000,301503,28,301504,100,301506,1309804,115471.148514851,301512,83,
301603,310000,301604,28,301605,97,301606,1310424,116091.148514851,301613,81,
301704,310000,301704,28,301706,100,301707,1310580,116247.148514851,301712,83,
301804,310000,301805,28,301806,100,301807,1308596,114263.148514851,301827,83,
301904,310000,301905,28,301907,97,301908,1309200,114867.148514851,301914,81,
302006,310000,302007,28,302008,100,302009,1309820,115487.148514851,302026,83,
302106,310000,302107,28,302108,100,302109,1309820,115487.148514851,302129,83,
302209,310000,302210,0,302211,100,302228,1310316,115983.148514851,302274,83,
302311,310000,302312,0,302313,100,302314,1308960,114627.148514851,302321,83,
302412,310000,302413,0,302415,95,302416,1309208,114875.148514851,302423,80,
302513,310000,302514,0,302515,97,302517,1309652,115319.148514851,302523,81,
