App,Package,Start Time,Duration,Filename
"System",,"Jan. 5, 2018 @ 11:22:52 PM","7 min 23 sec",""

Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
20896,310000,20898,46,20901,21,20903,1229072,20910,15,
20996,310000,20998,46,21000,23,21002,1229444,21009,18,
21096,310000,21097,46,21099,25,21101,1228388,21111,19,
21197,310000,21199,46,21201,28,21202,1228476,21207,22,
21298,310000,21299,46,21302,25,21303,1229096,21308,19,
21398,310000,21400,46,21403,21,21403,1229592,21409,19,
21502,310000,21508,46,21514,31,21516,1228364,21529,23,
21603,400000,21604,46,21605,38,21606,1228700,21610,26,
21704,310000,21705,46,21706,24,21707,1229072,21713,19,
21805,310000,21806,46,21807,20,21808,1229684,21816,15,
21910,310000,21912,46,21925,25,21926,1228928,21931,18,
22010,310000,22011,46,22013,27,22015,1229116,22023,23,
22111,310000,22111,46,22113,30,22114,1229316,22118,21,
22211,310000,22213,46,22216,17,22217,1229588,22223,11,
22313,310000,22316,46,22321,21,22326,1230208,22336,22,
22412,310000,22414,46,22416,30,22417,1228460,22423,19,
22514,310000,22517,46,22520,23,22522,1229040,22529,17,
22618,310000,22619,46,22622,26,22623,1227840,22635,23,
22717,310000,22718,46,22720,30,22721,1223936,22727,18,
22818,310000,22820,46,22825,20,22827,1222608,22841,18,
22923,310000,22924,47,22926,34,22927,1222732,22937,21,
23023,310000,23024,47,23026,25,23026,1222984,23033,17,
23123,310000,23124,47,23125,23,23126,1223484,23132,19,
23227,310000,23234,47,23237,30,23238,1222132,23243,22,
23328,310000,23330,47,23333,23,23335,1222232,23342,21,
23429,310000,23431,47,23433,24,23435,1222356,23443,15,
23530,310000,23531,47,23533,23,23534,1222728,23541,16,
23632,310000,23634,47,23637,26,23638,1223264,23649,16,
23731,310000,23732,47,23735,57,23736,1222392,23741,46,
23832,310000,23832,47,23833,41,23834,1223532,23838,39,
23932,310000,23933,47,23934,34,23935,1223820,23939,32,
24034,310000,24036,47,24038,21,24039,1224256,24043,12,
24135,310000,24144,47,24151,25,24157,1224788,24171,24,
24236,310000,24237,47,24239,42,24240,1223188,24248,25,
24337,310000,24339,47,24342,23,24344,1223432,24354,16,
24437,310000,24438,47,24439,22,24440,1223612,24446,14,
24538,310000,24539,47,24541,15,24543,1224232,24557,13,
24639,310000,24640,47,24642,24,24643,1223340,24650,17,
24740,200000,24742,47,24744,21,24745,1223676,24754,16,
24841,310000,24842,47,24844,27,24845,1223960,24854,16,
24942,310000,24943,47,24946,29,24948,1224480,24957,21,
25043,310000,25043,47,25045,46,25046,1222544,25051,43,
25144,310000,25146,48,25148,21,25149,1222784,25154,17,
25245,310000,25246,48,25248,15,25251,1223280,25258,13,
25347,310000,25348,48,25351,24,25353,1223900,25360,18,
25446,310000,25447,48,25450,28,25451,1222220,25458,19,
25548,310000,25549,48,25552,24,25554,1222560,25563,23,
25648,310000,25649,48,25651,28,25652,1223180,25657,20,
25750,310000,25751,48,25754,21,25756,1223428,25762,19,
25851,310000,25855,48,25859,31,25862,1224036,25876,22,
25952,310000,25952,48,25954,33,25954,1221784,25959,28,
26053,310000,26055,48,26059,29,26061,1222040,26071,20,
26154,310000,26157,48,26160,25,26163,1222660,26171,18,
26255,310000,26256,47,26259,29,26260,1223156,26270,22,
26355,310000,26356,47,26358,24,26361,1222528,26382,16,
26456,310000,26456,47,26458,35,26458,1222652,26464,29,
26557,310000,26558,47,26560,23,26563,1223340,26573,21,
26658,310000,26658,47,26660,28,26660,1223464,26668,16,
26760,310000,26764,47,26795,20,26797,1222636,26813,20,
26860,310000,26864,47,26872,58,26873,1222864,26885,40,
26960,310000,26962,47,26965,21,26966,1222864,26975,17,
27062,310000,27067,47,27069,28,27071,1222968,27078,19,
27162,310000,27166,47,27169,23,27171,1223824,27195,17,
27265,310000,27266,47,27267,30,27269,1221948,27275,23,
27366,310000,27369,52,27373,26,27375,1221792,27386,20,
27470,310000,27472,52,27474,28,27475,1222532,27482,20,
27571,310000,27572,52,27574,25,27575,1223276,27583,21,
27672,310000,27681,52,27684,32,27686,1222692,27692,27,
27773,310000,27775,52,27777,35,27779,1222692,27788,24,
27874,400000,27875,52,27876,27,27877,1222816,27884,21,
27976,310000,27983,52,27987,22,27988,1223296,27996,17,
28077,310000,28078,52,28081,18,28083,1223844,28093,20,
28177,310000,28178,52,28180,31,28181,1222168,28186,21,
28280,310000,28282,52,28284,12,28285,1222364,28291,13,
28380,310000,28384,52,28390,25,28392,1223032,28402,15,
28480,310000,28483,52,28486,28,28488,1223652,28502,21,
28582,400000,28586,54,28593,35,28615,1223172,28627,30,
28681,400000,28683,54,28685,41,28687,1222572,28693,25,
28783,310000,28784,54,28786,22,28788,1222944,28797,13,
28883,310000,28886,54,28888,23,28890,1223544,28901,16,
28984,310000,28986,54,28989,25,28990,1224040,29003,18,
29085,310000,29085,54,29087,32,29087,1222764,29092,26,
29186,310000,29188,54,29191,20,29192,1222832,29207,16,
29287,310000,29288,54,29290,29,29291,1223156,29301,22,
29387,310000,29388,54,29389,29,29390,1223768,29400,19,
29488,310000,29489,0,29491,23,29515,1224620,29543,19,
29589,310000,29590,0,29591,43,29593,1222516,29611,34,
29689,310000,29691,0,29692,20,29693,1222764,29712,19,
29791,310000,29792,48,29793,28,29794,1223260,29818,23,
29891,310000,29892,48,29893,30,29895,1223756,29908,24,
29993,310000,29995,48,30006,29,30025,1222920,30039,21,
30094,310000,30095,48,30100,37,30103,1223076,30125,29,
30195,310000,30197,48,30200,39,30203,1223696,30219,30,
30296,310000,30298,48,30303,31,30306,1224068,30331,23,
30397,310000,30399,48,30403,46,30407,1224560,30433,35,
30497,310000,30499,48,30501,35,30503,1222860,30518,31,
30599,310000,30601,48,30606,25,30609,1223108,30634,21,
30699,310000,30701,48,30704,38,30705,1223232,30719,30,
30800,310000,30802,48,30805,21,30806,1223852,30815,16,
30901,310000,30903,46,30905,40,30907,1222548,30920,25,
31002,310000,31003,46,31006,21,31009,1222548,31028,16,
31103,310000,31104,46,31108,27,31109,1223176,31130,21,
31203,310000,31205,46,31208,25,31210,1223668,31225,20,
31305,310000,31320,46,31324,30,31329,1224412,31355,25,
31405,400000,31406,46,31407,45,31408,1223032,31416,36,
31507,310000,31508,46,31510,10,31511,1223280,31529,8,
31607,310000,31610,46,31612,31,31615,1223652,31631,27,
31708,310000,31709,46,31710,26,31711,1223900,31723,15,
31810,310000,31812,46,31817,28,31822,1224844,31842,25,
31910,310000,31911,46,31915,33,31917,1223316,31936,26,
32011,310000,32013,48,32018,25,32021,1223512,32043,17,
32112,310000,32116,48,32119,34,32121,1223956,32134,26,
32212,310000,32214,48,32216,20,32218,1224204,32232,13,
32315,310000,32317,48,32319,36,32321,1222900,32331,28,
32416,310000,32417,48,32418,15,32419,1223004,32425,14,
32518,310000,32520,48,32522,21,32524,1223320,32539,16,
32617,310000,32618,48,32619,28,32620,1223692,32628,16,
32717,200000,32719,48,32720,28,32723,1224232,32745,23,
32818,310000,32819,48,32821,34,32822,1222816,32836,27,
32919,310000,32921,48,32922,29,32923,1223312,32938,22,
33021,310000,33022,48,33023,28,33024,1223932,33038,20,
33122,310000,33122,48,33124,21,33125,1224292,33134,15,
33222,310000,33223,51,33225,45,33227,1223112,33244,36,
33324,310000,33326,51,33329,26,33333,1223360,33352,23,
33374,310000,33375,51,33377,47,33378,1223484,33383,26,
33475,310000,33476,51,33478,21,33480,1223732,33486,16,
33576,310000,33577,51,33580,23,33581,1224412,33591,16,
33677,310000,33678,51,33679,22,33680,1222728,33689,18,
33778,310000,33779,51,33780,28,33782,1222972,33791,22,
33878,310000,33880,51,33882,21,33884,1223752,33892,21,
33979,310000,33981,51,33983,30,33984,1224372,33992,19,
34080,310000,34081,51,34083,28,34086,1222540,34097,23,
34181,310000,34182,51,34184,28,34185,1223000,34190,18,
34282,310000,34282,48,34284,17,34285,1223496,34291,14,
34382,310000,34383,48,34384,23,34385,1223992,34389,20,
34485,310000,34486,48,34487,21,34488,1222564,34493,19,
34586,310000,34587,48,34588,33,34589,1226304,34597,32,
34686,310000,34688,48,34689,28,34690,1231636,34695,25,
34788,400000,34789,48,34791,30,34792,1231492,34798,25,
34889,400000,34890,48,34892,46,34893,1229836,34900,41,
34990,400000,34991,48,34993,34,34994,1229704,35001,36,
35091,400000,35092,48,35095,28,35103,1234272,35110,24,
35191,400000,35192,48,35194,38,35194,1238864,35199,33,
35292,310000,35293,48,35296,22,35308,1239484,35328,15,
35393,310000,35394,48,35396,29,35397,1238184,35405,23,
35495,310000,35497,60,35499,26,35501,1238384,35508,21,
35596,310000,35597,60,35598,23,35600,1238712,35607,18,
35697,310000,35698,60,35700,21,35702,1239332,35712,16,
35796,310000,35797,60,35798,25,35799,1237580,35804,20,
35897,310000,35899,60,35902,21,35904,1237828,35911,20,
35999,310000,36000,60,36003,21,36004,1238516,36010,10,
36100,310000,36101,60,36104,23,36106,1239088,36113,19,
36205,310000,36206,60,36208,21,36209,1238032,36214,13,
36306,310000,36307,60,36308,19,36308,1238280,36313,17,
36407,310000,36408,60,36410,20,36411,1238652,36418,17,
36508,310000,36509,45,36511,20,36512,1239272,36519,13,
36609,310000,36622,45,36627,28,36629,1237644,36639,20,
36710,310000,36711,45,36713,29,36714,1238140,36724,24,
36811,310000,36812,45,36814,23,36816,1238636,36825,18,
36912,310000,36914,45,36916,31,36918,1238884,36924,19,
37015,310000,37017,45,37020,31,37023,1237872,37028,26,
37116,310000,37117,45,37118,17,37119,1238252,37125,18,
37217,310000,37218,45,37219,57,37220,1240384,37226,57,
37317,310000,37318,45,37320,68,37321,1228780,37346,69,
37418,310000,37419,45,37421,71,37422,1229624,37429,68,
37519,400000,37520,45,37522,38,37524,1231064,37532,42,
37620,400000,37621,55,37623,50,37624,1232812,37630,48,
37721,400000,37722,55,37724,51,37726,1237524,37739,50,
37821,310000,37823,55,37826,58,37828,1277732,37839,56,
37922,310000,37923,55,37926,50,37928,1329500,37943,48,
38023,310000,38024,55,38028,58,38031,1369628,38052,58,
38124,310000,38126,55,38129,54,38131,1394268,38156,53,
38225,310000,38226,55,38228,80,38229,1384536,38241,79,
38325,310000,38326,55,38327,47,38328,1284136,38335,46,
38426,310000,38426,55,38427,32,38428,1284632,38434,32,
38526,310000,38528,55,38530,20,38531,1295472,38540,20,
38627,310000,38627,55,38629,60,38629,1303852,38637,59,
38727,310000,38730,55,38732,57,38733,1304712,38740,56,
38828,310000,38828,55,38829,39,38830,1305464,38837,39,
38928,310000,38929,55,38930,31,38931,1306172,38937,32,
39029,310000,39031,55,39032,29,39033,1306104,39038,29,
39129,310000,39130,55,39132,25,39134,1307252,39152,37,
39229,310000,39230,34,39231,78,39232,1308492,39256,76,
39335,310000,39336,34,39351,77,39360,1314816,39382,78,
39435,310000,39439,34,39443,85,39445,1329200,39458,85,
39535,310000,39537,34,39538,97,39538,1330860,39558,97,
39636,310000,39637,34,39638,100,39639,1329944,39671,100,
39736,310000,39737,34,39738,97,39738,1330564,39748,97,
39836,310000,39837,0,39838,100,39838,1330812,39842,100,
39937,310000,39938,0,39939,100,39939,1331720,39943,97,
40039,310000,40039,0,40041,97,40041,1332836,40076,100,
40141,310000,40142,0,40143,100,40144,1331952,40161,100,
40245,310000,40251,0,40253,90,40258,1334480,40266,90,
40345,310000,40346,0,40348,100,40349,1335916,40354,100,
40446,310000,40446,0,40449,100,40450,1336884,40469,100,
40546,310000,40547,0,40563,100,40564,1337720,40585,100,
40646,310000,40647,0,40648,100,40654,1336292,40659,100,
40747,310000,40747,0,40748,100,40753,1336284,40759,100,
40847,310000,40848,0,40849,100,40854,1336356,40859,100,
40956,310000,40957,30,40958,100,40959,1337100,40971,100,
41054,310000,41055,30,41056,100,41057,1337552,41071,100,
