Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU Load [%]",Time  [ms],"Memory Usage [KB]",Time  [ms],"CPU Load (Normalized) [%]",
15222,310000,15222,51,15224,32,15224,1192196,15231,34,
15323,310000,15323,0,15325,30,15325,1199636,15330,26,
15423,310000,15424,0,15426,32,15427,1199744,15433,26,
15525,310000,15526,0,15528,34,15529,1200240,15541,27,
15625,400000,15627,0,15630,42,15632,1200260,15647,32,
15726,400000,15728,61,15732,38,15735,1199084,15747,38,
15827,400000,15827,61,15829,51,15829,1207012,15835,37,
15928,400000,15929,61,15930,23,15931,1207260,15937,18,
16029,310000,16030,61,16032,23,16033,1207756,16039,15,
16129,310000,16130,61,16132,39,16134,1206404,16140,27,
16230,310000,16231,61,16232,20,16233,1206528,16239,16,
16330,310000,16332,0,16334,30,16335,1206900,16341,22,
16431,310000,16432,0,16434,25,16435,1207216,16442,18,
16532,310000,16533,0,16535,34,16536,1205480,16543,26,
16633,310000,16634,0,16635,22,16636,1205780,16641,16,
16734,310000,16735,0,16737,25,16738,1206244,16746,15,
16835,310000,16836,0,16837,26,16838,1206740,16844,16,
16936,310000,16937,46,16940,23,16942,1207360,16952,17,
17037,310000,17038,46,17040,33,17041,1206032,17047,24,
17140,310000,17141,46,17142,36,17142,1206404,17147,27,
17241,310000,17241,46,17242,19,17243,1206724,17247,19,
17342,310000,17343,46,17344,45,17345,1208244,17359,48,
17442,310000,17443,46,17445,73,17446,1194340,17459,74,
17542,310000,17543,46,17545,86,17546,1194588,17556,86,
17643,400000,17643,46,17644,39,17645,1195344,17649,36,
17743,400000,17744,46,17745,47,17746,1200568,17751,47,
17844,400000,17844,46,17845,61,17846,1200404,17851,60,
17944,400000,17947,46,17948,58,17949,1228552,17957,56,
18045,310000,18047,52,18050,62,18051,1277292,18066,61,
18147,310000,18149,52,18151,65,18152,1324220,18163,66,
18249,310000,18253,52,18254,53,18255,1361700,18262,56,
18349,310000,18350,52,18351,75,18353,1402616,18366,71,
18449,310000,18450,52,18451,70,18452,1296776,18457,70,
18549,310000,18550,52,18551,46,18552,1279536,18558,43,
18650,310000,18650,52,18651,15,18652,1279384,18657,16,
18751,310000,18751,52,18752,50,18753,1292820,18758,49,
18854,310000,18855,52,18856,48,18857,1297516,18862,46,
18955,310000,18956,52,18957,36,18958,1300372,18962,35,
19055,310000,19056,52,19057,29,19057,1302304,19063,29,
19157,310000,19157,52,19158,30,19159,1300636,19164,30,
19257,310000,19258,52,19259,21,19260,1302768,19268,22,
19358,310000,19359,52,19360,59,19361,1310488,19367,59,
19460,310000,19462,52,19467,82,19471,1321400,19484,81,
19562,310000,19562,52,19563,82,19564,1329692,19571,85,
19663,310000,19664,40,19665,97,19665,1330184,19669,97,
19763,310000,19764,40,19765,100,19766,1331052,19770,100,
19865,310000,19866,40,19867,97,19869,1332044,19876,97,
19965,310000,19966,40,19967,100,19968,1333036,19984,100,
20065,310000,20066,40,20067,97,20068,1331768,20080,97,
20166,310000,20167,40,20168,97,20168,1332760,20172,97,
20266,310000,20267,40,20268,100,20268,1333380,20272,100,
20367,310000,20367,40,20369,95,20371,1337872,20394,95,
20467,310000,20468,40,20469,100,20470,1337720,20496,100,
20567,310000,20568,40,20569,100,20570,1335884,20574,100,
20668,310000,20669,40,20670,100,20670,1335788,20676,100,
20768,310000,20769,0,20770,100,20771,1335788,20776,100,
20871,310000,20874,0,20876,100,20877,1335912,20903,100,
20971,310000,20973,0,20974,100,20975,1336284,20997,100,
21072,310000,21073,0,21074,100,21075,1336780,21093,100,
21174,310000,21174,0,21177,95,21179,1335600,21196,95,
21274,310000,21275,0,21276,100,21277,1336344,21296,100,
21375,310000,21376,0,21377,100,21378,1336716,21392,100,
21475,310000,21476,0,21477,100,21478,1336992,21491,100,
21576,310000,21577,0,21578,100,21579,1335516,21591,100,
21676,310000,21677,0,21678,100,21679,1335516,21689,100,
21777,310000,21778,0,21779,100,21780,1335764,21796,100,
21877,310000,21878,0,21879,100,21880,1335888,21887,100,
21978,310000,21978,27,21979,100,21980,1336160,21992,100,
22078,310000,22079,27,22080,100,22081,1336904,22096,100,
22179,310000,22180,27,22181,100,22182,1337524,22198,100,
22279,310000,22280,0,22281,97,22282,1336804,22295,97,
22380,310000,22380,0,22382,100,22382,1336928,22398,100,
22480,310000,22481,0,22482,100,22483,1337548,22495,100,
22581,310000,22582,0,22583,97,22584,1337772,22596,97,
22686,310000,22687,0,22690,100,22691,1338492,22740,100,
22790,310000,22791,0,22792,100,22793,1337344,22821,100,
22886,310000,22887,0,22888,97,22889,1337964,22907,97,
22987,310000,22988,0,22989,100,22990,1338708,23018,100,
23087,310000,23088,0,23089,100,23090,1339204,23106,100,
23188,310000,23190,0,23191,97,23195,1339576,23210,97,
23292,310000,23293,0,23294,100,23295,1337916,23310,100,
23393,310000,23396,0,23397,97,23404,1338164,23412,97,
23495,310000,23498,26,23506,97,23507,1338908,23512,97,
23595,310000,23596,26,23598,100,23606,1339756,23613,100,
23694,310000,23696,26,23706,100,23708,1337840,23714,100,
23745,310000,23746,26,23747,100,23748,1337964,23753,100,
23847,310000,23848,26,23849,100,23850,1338584,23854,100,
23948,310000,23949,26,23950,100,23951,1340072,23966,100,
24051,310000,24052,26,24053,100,24054,1340476,24059,100,
24154,310000,24155,26,24157,100,24158,1338316,24175,100,
24256,310000,24257,26,24258,100,24259,1342780,24284,100,
24359,310000,24360,26,24361,100,24362,1337672,24375,100,
24460,310000,24461,26,24462,100,24463,1341172,24482,100,
24561,310000,24561,0,24563,100,24564,1342164,24576,100,
24661,310000,24662,0,24663,100,24664,1340572,24671,100,
24762,310000,24762,0,24763,100,24764,1342804,24776,100,
24862,310000,24863,21,24864,100,24865,1346004,24879,100,
24963,310000,24963,21,24964,100,24965,1337576,24988,100,
25063,310000,25064,21,25065,100,25066,1335796,25074,100,
25164,310000,25164,21,25166,72,25167,1338092,25175,67,
25264,200000,25264,21,25266,95,25267,1337220,25286,95,
25364,200000,25369,21,25373,100,25374,1338640,25384,100,
25465,200000,25466,21,25467,100,25468,1337260,25490,100,
25565,200000,25566,21,25567,97,25568,1337460,25584,97,
25670,200000,25671,21,25679,100,25680,1337660,25692,100,
25766,200000,25767,21,25768,100,25769,1338304,25783,100,
25867,310000,25868,21,25869,100,25870,1339020,25888,100,
25967,310000,25968,31,25969,100,25970,1337516,25992,100,
26068,310000,26069,31,26070,97,26071,1338260,26079,97,
26174,400000,26176,31,26177,100,26178,1340704,26198,100,
26276,400000,26278,31,26279,100,26280,1341892,26306,100,
26379,400000,26380,31,26381,100,26383,1356564,26392,100,
26525,400000,26532,31,26534,100,26537,1356840,26566,100,
26576,400000,26578,31,26592,100,26596,1356352,26619,96,
26679,400000,26680,31,26689,97,26692,1353704,26708,100,
26779,400000,26780,31,26781,97,26782,1354076,26796,97,
26880,400000,26882,31,26883,100,26888,1351824,26898,100,
26980,400000,26981,31,26983,97,26984,1344296,27007,97,
27084,400000,27085,51,27087,97,27088,1344452,27108,97,
27185,400000,27186,51,27188,100,27189,1344948,27216,100,
27286,310000,27287,51,27289,100,27290,1343420,27296,100,
27386,310000,27387,51,27390,97,27391,1343816,27398,97,
27487,310000,27488,51,27489,97,27490,1344436,27497,97,
27587,310000,27588,51,27589,100,27590,1344456,27597,100,
27688,310000,27689,51,27690,97,27691,1345020,27715,97,
27789,400000,27790,51,27792,100,27793,1343044,27807,100,
27890,400000,27891,51,27892,80,27893,1267736,27898,80,
27990,400000,27991,51,27992,55,27993,1196736,28000,53,
