Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%]
26540,17,26541,962000,26542,3427888,0,26565,6
26643,20,26644,442000,26646,3428260,0,26672,6
26743,16,26744,754000,26746,3428820,0,26767,5
26843,16,26844,1378000,26845,3427836,0,26860,8
26944,13,26945,1170000,26946,3427836,0,26963,7
27045,12,27046,1170000,27047,3427836,0,27064,6
27146,10,27147,1170000,27148,3428076,0,27165,5
27250,13,27251,1170000,27252,3428820,0,27268,7
27351,20,27351,1586000,27352,3427688,0,27369,14
27451,12,27452,1170000,27453,3427936,0,27470,6
27554,15,27555,442000,27557,3428184,0,27583,5
27653,21,27654,962000,27655,3428432,0,27682,8
27754,18,27755,858000,27756,3428572,0,27776,6
27854,17,27855,1170000,27857,3427588,0,27874,8
27955,16,27956,1170000,27957,3427836,0,27975,9
28056,31,28057,1170000,28058,3428084,0,28075,16
28156,10,28157,1274000,28158,3428316,0,28175,5
28257,15,28258,1170000,28259,3428828,0,28276,9
28358,17,28359,858000,28361,3429076,0,28387,10
28458,22,28459,1170000,28461,3428140,0,28477,10
28559,16,28560,962000,28562,3428380,0,28580,9
28660,18,28661,754000,28663,3428380,0,28683,8
28761,25,28762,858000,28763,3428448,0,28782,9
28863,26,28864,858000,28866,3428696,0,28886,7
28963,17,28964,1378000,28965,3428056,0,28980,10
29063,15,29064,1586000,29065,3428304,0,29079,11
29165,19,29166,858000,29167,3428552,0,29187,11
29265,18,29266,858000,29268,3428800,0,29287,6
29366,14,29367,858000,29369,3429048,0,29389,6
29467,26,29468,858000,29469,3429544,0,29491,11
29569,20,29570,546000,29572,3428116,0,29596,10
29670,20,29671,546000,29673,3428076,0,29697,6
29772,18,29773,858000,29775,3428448,0,29797,7
29871,21,29873,546000,29875,3428696,0,29898,8
29972,24,29974,650000,29975,3429192,0,30001,9
30072,25,30073,858000,30075,3429936,0,30102,7
30173,18,30174,858000,30176,3428456,0,30196,7
30274,18,30275,858000,30276,3428456,0,30297,7
30374,17,30375,858000,30377,3428456,0,30398,7
30477,21,30478,442000,30480,3429192,0,30504,9
30576,28,30577,1170000,30578,3429440,0,30605,10
30677,20,30678,1170000,30679,3428208,0,30696,11
30777,14,30778,1170000,30779,3428448,0,30797,7
30828,16,30829,1274000,30830,3428448,0,30846,9
30931,13,30932,442000,30934,3428448,0,30964,6
31031,22,31032,442000,31034,3428944,0,31064,5
31130,22,31131,1170000,31132,3428452,0,31148,8
31232,18,31233,442000,31235,3428452,0,31261,7
31332,28,31333,858000,31335,3428700,0,31358,9
31432,15,31433,1066000,31434,3428948,0,31459,6
31533,18,31534,1066000,31535,3429444,0,31554,8
31635,23,31636,1274000,31637,3428212,0,31653,10
31735,13,31736,650000,31738,3428076,0,31760,7
31835,20,31836,858000,31838,3428324,0,31856,6
31936,14,31937,962000,31938,3428324,0,31956,7
32037,13,32038,754000,32039,3428820,0,32060,6
32138,15,32138,858000,32140,3429068,0,32165,6
32238,18,32239,1170000,32240,3428328,0,32270,8
32339,14,32340,962000,32341,3428576,0,32359,5
32440,25,32441,1170000,32442,3431304,0,32460,10
32541,21,32541,858000,32543,3431552,0,32562,9
32643,24,32644,546000,32646,3431796,0,32668,8
32742,23,32743,1378000,32744,3430432,0,32760,14
32843,19,32843,962000,32845,3430680,0,32863,8
32943,12,32944,962000,32945,3430680,0,32965,5
33044,17,33045,858000,33046,3430928,0,33067,6
33146,18,33147,546000,33149,3431176,0,33174,6
33245,18,33246,1170000,33247,3430436,0,33263,7
33346,19,33347,858000,33348,3430436,0,33367,9
33447,23,33448,858000,33449,3430684,0,33468,9
33548,17,33548,858000,33550,3430932,0,33569,7
33651,21,33652,546000,33654,3431180,0,33678,7
33749,27,33749,1274000,33751,3430184,0,33766,12
33850,12,33851,858000,33852,3430432,0,33873,6
