Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
215145,88,215146,1586000,215147,3518560,150391.516908213,215370,32,
215246,0,215246,1586000,215248,3519404,151235.516908213,215466,44,
215346,88,215346,1586000,215348,3519848,151679.516908213,215576,41,
215449,0,215449,1586000,215450,3520792,152623.516908213,215675,71,
215550,88,215551,1586000,215553,3521068,152899.516908213,215771,37,
215651,84,215651,1586000,215652,3517344,149175.516908213,215874,46,
215751,0,215751,1586000,215753,3529052,160883.516908213,215974,46,
215852,75,215852,1586000,215853,3514792,146623.516908213,216073,45,
215952,88,215953,1586000,215954,3538352,170183.516908213,216172,45,
216052,0,216053,1586000,216054,3541064,172895.516908213,216269,45,
216153,88,216154,1586000,216155,3540212,172043.516908213,216370,39,
216254,0,216254,1586000,216256,3535628,167459.516908213,216471,31,
216354,71,216354,1586000,216355,3535484,167315.516908213,216572,38,
216454,51,216455,1586000,216456,3535836,167667.516908213,216672,26,
216554,67,216555,1586000,216556,3535236,167067.516908213,216777,32,
216656,39,216656,1586000,216657,3536560,168391.516908213,216887,47,
216756,55,216756,1586000,216757,3527832,159663.516908213,216980,46,
216856,77,216857,1586000,216858,3533088,164919.516908213,217080,50,
216957,69,216957,1586000,216959,3534628,166459.516908213,217176,36,
217058,79,217058,1586000,217059,3535824,167655.516908213,217291,46,
217158,55,217159,1586000,217160,3538928,170759.516908213,217382,52,
217259,72,217261,1586000,217262,3534032,165863.516908213,217481,45,
217359,81,217359,1586000,217361,3535320,167151.516908213,217582,35,
217460,75,217462,1586000,217463,3536936,168767.516908213,217678,30,
217561,67,217561,1586000,217563,3540132,171963.516908213,217781,42,
217661,47,217661,1378000,217663,3542860,174691.516908213,217885,39,
217761,72,217762,1586000,217763,3548960,180791.516908213,217979,38,
217862,68,217863,1586000,217864,3550052,181883.516908213,218081,30,
217963,68,217963,1482000,217964,3534668,166499.516908213,218185,25,
218063,50,218063,1586000,218065,3536264,168095.516908213,218281,45,
218163,45,218164,1586000,218165,3542216,174047.516908213,218384,26,
218264,75,218265,1586000,218268,3547348,179179.516908213,218494,36,
218365,50,218366,1586000,218367,3548092,179923.516908213,218584,32,
218465,63,218466,1482000,218468,3548616,180447.516908213,218683,29,
218566,57,218567,1586000,218568,3546732,178563.516908213,218785,52,
218665,50,218665,1586000,218667,3549708,181539.516908213,218885,42,
218765,87,218766,1586000,218768,3550204,182035.516908213,218988,40,
218868,68,218868,1586000,218870,3549520,181351.516908213,219085,43,
218968,67,218968,1586000,218969,3547948,179779.516908213,219189,36,
219068,75,219069,1586000,219070,3546400,178231.516908213,219285,42,
219169,54,219171,1586000,219172,3547884,179715.516908213,219394,39,
219269,70,219269,1586000,219271,3543604,175435.516908213,219489,41,
219369,58,219370,1586000,219373,3547224,179055.516908213,219593,32,
219471,67,219472,1586000,219473,3546720,178551.516908213,219693,30,
219572,50,219573,1586000,219575,3549168,180999.516908213,219792,41,
219671,50,219672,1586000,219673,3550904,182735.516908213,219897,40,
219773,73,219773,1482000,219775,3546564,178395.516908213,219999,33,
219872,61,219873,1586000,219876,3544628,176459.516908213,220102,28,
219972,88,219973,1586000,219975,3546728,178559.516908213,220201,70,
220074,0,220074,1586000,220075,3549568,181399.516908213,220281,36,
220176,88,220177,1586000,220178,3552644,184475.516908213,220395,28,
220273,0,220274,1586000,220274,3552104,183935.516908213,220494,37,
220375,55,220377,1586000,220379,3552408,184239.516908213,220617,38,
220474,54,220475,1586000,220476,3552292,184123.516908213,220682,55,
220578,59,220582,1586000,220583,3540224,172055.516908213,220792,44,
220675,89,220676,1586000,220676,3545924,177755.516908213,220908,48,
220776,72,220776,1586000,220777,3541832,173663.516908213,221042,49,
220877,88,220878,1586000,220879,3542728,174559.516908213,221091,35,
220978,0,220978,1586000,220998,3549224,181055.516908213,221198,29,
221077,88,221077,1586000,221078,3550572,182403.516908213,221317,44,
221177,0,221178,1586000,221178,3538020,169851.516908213,221394,27,
221278,88,221279,1586000,221280,3542188,174019.516908213,221491,34,
221378,0,221379,1586000,221380,3540508,172339.516908213,221608,31,
221478,59,221479,1586000,221479,3547720,179551.516908213,221705,35,
221579,57,221580,1586000,221583,3548836,180667.516908213,221828,31,
221680,57,221681,1586000,221687,3551812,183643.516908213,221893,24,
221780,57,221781,1586000,221789,3552656,184487.516908213,221988,27,
221881,44,221882,1586000,221883,3550936,182767.516908213,222107,38,
221981,51,221981,1586000,221982,3551184,183015.516908213,222214,34,
222081,88,222082,1586000,222083,3550896,182727.516908213,222287,43,
222181,0,222182,1586000,222183,3548344,180175.516908213,222436,32,
222281,66,222282,1586000,222282,3549524,181355.516908213,222503,49,
222383,50,222383,1586000,222385,3549760,181591.516908213,222542,62,
222484,79,222484,1586000,222485,3543520,175351.516908213,222655,39,
222534,100,222534,1586000,222535,3539288,171119.516908213,222754,50,
222635,60,222636,1586000,222637,3535488,167319.516908213,222852,30,
222736,77,222737,1586000,222738,3538564,170395.516908213,222963,40,
222836,46,222837,1586000,222838,3539260,171091.516908213,223055,33,
222937,64,222938,1586000,222942,3531356,163187.516908213,223157,32,
223037,69,223038,1586000,223039,3535820,167651.516908213,223257,35,
223137,56,223138,1586000,223139,3536764,168595.516908213,223358,22,
223238,63,223238,1586000,223239,3538996,170827.516908213,223456,34,
223338,32,223339,1586000,223340,3539344,171175.516908213,223559,41,
223438,58,223439,1586000,223440,3548012,179843.516908213,223668,32,
223540,71,223541,1586000,223542,3532216,164047.516908213,223761,49,
223641,53,223642,1586000,223648,3534568,166399.516908213,223859,41,
223741,79,223742,1586000,223743,3533928,165759.516908213,223964,31,
223841,67,223841,1586000,223842,3534996,166827.516908213,224086,49,
223942,56,223942,1586000,223943,3539568,171399.516908213,224168,45,
224042,77,224043,1586000,224045,3541552,173383.516908213,224265,45,
224143,75,224144,1586000,224145,3538840,170671.516908213,224363,42,
224243,74,224244,1586000,224245,3527452,159283.516908213,224469,32,
224344,70,224344,1586000,224345,3529436,161267.516908213,224573,49,
224444,53,224445,1586000,224447,3530676,162507.516908213,224670,38,
224544,79,224545,1586000,224546,3530848,162679.516908213,224766,34,
224646,61,224646,1586000,224654,3529620,161451.516908213,224864,33,
224746,68,224747,1274000,224748,3529476,161307.516908213,224969,18,
224846,64,224847,1378000,224848,3530964,162795.516908213,225069,36,
224947,29,224947,1274000,224948,3531708,163539.516908213,225178,42,
225047,63,225048,1586000,225049,3532452,164283.516908213,225265,37,
225148,68,225151,1586000,225152,3534680,166511.516908213,225369,35,
225248,66,225249,1586000,225250,3528028,159859.516908213,225468,24,
225348,62,225349,1586000,225350,3529268,161099.516908213,225571,36,
225450,38,225451,1274000,225452,3530204,162035.516908213,225665,42,
225549,63,225550,1586000,225552,3530948,162779.516908213,225777,38,
225650,66,225651,1586000,225652,3530112,161943.516908213,225875,45,
225753,65,225755,1586000,225756,3519724,151555.516908213,225979,36,
225851,72,225852,1586000,225854,3521216,153047.516908213,226091,47,
225951,57,225952,1586000,225954,3520480,152311.516908213,226171,43,
226052,72,226053,1586000,226054,3527748,159579.516908213,226278,45,
226152,74,226153,1586000,226154,3529732,161563.516908213,226377,39,
226255,72,226255,1586000,226257,3531668,163499.516908213,226483,29,
226353,88,226354,1586000,226355,3531632,163463.516908213,226576,30,
226454,0,226455,1586000,226457,3532088,163919.516908213,226674,34,
226554,55,226555,1586000,226556,3532632,164463.516908213,226780,38,
226654,56,226654,1586000,226657,3533252,165083.516908213,226890,29,
226755,62,226756,1586000,226758,3532812,164643.516908213,226976,40,
226858,45,226859,1586000,226860,3534244,166075.516908213,227075,37,
226955,69,226956,1586000,226957,3532068,163899.516908213,227178,39,
227056,64,227056,1586000,227057,3527248,159079.516908213,227279,38,
227156,64,227157,1586000,227158,3525528,157359.516908213,227377,20,
227257,61,227257,1586000,227258,3526324,158155.516908213,227498,43,
227357,35,227358,1586000,227359,3527068,158899.516908213,227588,49,
227457,69,227458,1586000,227459,3532076,163907.516908213,227683,44,
227560,78,227561,1586000,227564,3531392,163223.516908213,227789,39,
227658,70,227659,1586000,227661,3531444,163275.516908213,227870,39,
227759,66,227760,1586000,227761,3531844,163675.516908213,228023,43,
227859,56,227860,1586000,227861,3531852,163683.516908213,228067,48,
227960,70,227961,1586000,227964,3532844,164675.516908213,228175,34,
228060,82,228060,1586000,228061,3528652,160483.516908213,228293,44,
228160,56,228161,1586000,228161,3528064,159895.516908213,228396,26,
228261,88,228264,1586000,228267,3522636,154467.516908213,228491,45,
228362,0,228362,1586000,228364,3526224,158055.516908213,228584,37,
228462,88,228463,1586000,228464,3534484,166315.516908213,228669,44,
228563,0,228564,1586000,228565,3533160,164991.516908213,228792,29,
228663,88,228663,1586000,228663,3532932,164763.516908213,228899,43,
228763,0,228764,1586000,228765,3524040,155871.516908213,228989,30,
228865,68,228868,1586000,228870,3524040,155871.516908213,229108,37,
228965,57,228965,1586000,228967,3524520,156351.516908213,229171,35,
229065,60,229066,1586000,229067,3522044,153875.516908213,229278,22,
229165,59,229165,1170000,229166,3520916,152747.516908213,229395,72,
229266,41,229266,1378000,229267,3520948,152779.516908213,229492,46,
229368,88,229369,1586000,229370,3511780,143611.516908213,229601,56,
229468,0,229469,1586000,229470,3514344,146175.516908213,229685,43,
229570,88,229570,1586000,229571,3515260,147091.516908213,229778,63,
229672,0,229673,1586000,229676,3521020,152851.516908213,229898,42,
229770,88,229770,1586000,229771,3522508,154339.516908213,229995,41,
229873,0,229873,1586000,229877,3520160,151991.516908213,230089,32,
229972,88,229972,1586000,229973,3520092,151923.516908213,230194,31,
230072,0,230072,1586000,230074,3521200,153031.516908213,230293,31,
230172,88,230173,1586000,230174,3521944,153775.516908213,230417,36,
230273,0,230273,1586000,230274,3521068,152899.516908213,230479,34,
230373,88,230374,1586000,230375,3520768,152599.516908213,230592,39,
230474,0,230474,1586000,230475,3523356,155187.516908213,230693,36,
230574,68,230575,1586000,230575,3522740,154571.516908213,230795,39,
230675,59,230676,1586000,230677,3522644,154475.516908213,230894,32,
230776,63,230777,1586000,230778,3518260,150091.516908213,231012,34,
230876,88,230877,1586000,230878,3519964,151795.516908213,231102,48,
230976,0,230977,1586000,230978,3525796,157627.516908213,231202,45,
231079,74,231079,1586000,231081,3519256,151087.516908213,231313,46,
231179,70,231180,1586000,231181,3520728,152559.516908213,231387,41,
231281,76,231281,1586000,231283,3520976,152807.516908213,231503,25,
231380,65,231380,1586000,231381,3518360,150191.516908213,231601,47,
231481,37,231482,1586000,231483,3519568,151399.516908213,231701,43,
231581,79,231582,1586000,231583,3524656,156487.516908213,231803,34,
231682,72,231683,1586000,231684,3512032,143863.516908213,231904,31,
231783,63,231783,1378000,231785,3512684,144515.516908213,232003,25,
231883,53,231884,1274000,231885,3515784,147615.516908213,232108,38,
231983,48,231984,1378000,231985,3513468,145299.516908213,232201,38,
232084,65,232085,1170000,232086,3520356,152187.516908213,232302,40,
232184,66,232185,1586000,232186,3521100,152931.516908213,232406,64,
232285,70,232286,1586000,232287,3521312,153143.516908213,232522,31,
232385,88,232386,1586000,232387,3521120,152951.516908213,232605,38,
232486,0,232486,1586000,232487,3521412,153243.516908213,232705,34,
232587,64,232587,1586000,232588,3519120,150951.516908213,232819,36,
232688,50,232688,1586000,232690,3518264,150095.516908213,232925,27,
232788,88,232789,962000,232791,3520000,151831.516908213,232995,46,
232889,0,232890,1274000,232892,3521164,152995.516908213,233113,51,
232988,72,232988,1586000,232989,3521612,153443.516908213,233211,39,
233090,84,233091,1586000,233092,3517620,149451.516908213,233313,40,
233190,61,233191,1586000,233192,3517244,149075.516908213,233412,38,
233290,70,233291,1586000,233294,3511624,143455.516908213,233509,38,
233391,63,233392,1586000,233393,3513120,144951.516908213,233611,41,
233491,59,233492,1586000,233493,3520480,152311.516908213,233713,32,
233594,75,233595,1586000,233596,3521720,153551.516908213,233815,41,
233695,55,233696,1586000,233697,3520244,152075.516908213,233916,26,
233798,66,233798,1586000,233800,3520844,152675.516908213,234021,29,
233898,46,233899,1274000,233900,3522084,153915.516908213,234118,41,
233999,54,233999,1586000,234001,3522352,154183.516908213,234218,37,
234099,74,234100,1586000,234101,3519452,151283.516908213,234319,38,
234200,60,234201,1586000,234202,3516252,148083.516908213,234417,22,
234300,64,234301,1586000,234302,3517296,149127.516908213,234522,35,
234400,36,234401,1586000,234402,3517716,149547.516908213,234619,38,
234501,61,234502,1586000,234503,3513536,145367.516908213,234731,45,
234601,61,234602,1586000,234603,3517480,149311.516908213,234808,47,
234702,70,234703,1586000,234704,3516756,148587.516908213,234927,34,
234802,73,234802,1586000,234803,3516868,148699.516908213,235021,44,
234903,52,234904,1586000,234905,3518704,150535.516908213,235124,46,
235003,75,235004,1586000,235005,3512108,143939.516908213,235224,47,
235104,69,235105,1586000,235106,3516884,148715.516908213,235326,41,
235204,77,235204,1586000,235206,3516148,147979.516908213,235423,26,
235305,66,235306,1586000,235307,3513888,145719.516908213,235526,36,
235405,41,235406,1586000,235407,3514980,146811.516908213,235624,35,
235506,61,235507,1586000,235508,3520996,152827.516908213,235725,31,
235607,61,235607,1586000,235608,3506208,138039.516908213,235825,35,
235707,58,235708,1378000,235709,3506704,138535.516908213,235930,30,
235807,58,235808,1586000,235809,3511428,143259.516908213,236030,32,
235908,43,235909,1586000,235910,3508932,140763.516908213,236128,35,
236008,58,236009,1586000,236010,3513396,145227.516908213,236226,35,
236109,59,236109,1586000,236111,3514140,145971.516908213,236332,24,
236210,58,236210,1274000,236212,3512812,144643.516908213,236448,34,
236311,43,236311,858000,236313,3515160,146991.516908213,236546,51,
236411,61,236412,1586000,236413,3516260,148091.516908213,236632,48,
236511,84,236513,1586000,236516,3514152,145983.516908213,236730,46,
236612,77,236613,1586000,236614,3515036,146867.516908213,236833,40,
236713,75,236713,1586000,236715,3512772,144603.516908213,236936,36,
236813,68,236814,1586000,236815,3513804,145635.516908213,237030,40,
236915,49,236916,1586000,236917,3515044,146875.516908213,237133,41,
237014,70,237015,1586000,237016,3504440,136271.516908213,237232,28,
237114,66,237115,1586000,237117,3510064,141895.516908213,237333,34,
237215,47,237215,1586000,237217,3510516,142347.516908213,237431,24,
237315,66,237316,1586000,237317,3512668,144499.516908213,237541,36,
237416,36,237416,1586000,237417,3513908,145739.516908213,237644,38,
237517,55,237518,1586000,237521,3509568,141399.516908213,237737,30,
237618,88,237619,1586000,237623,3514884,146715.516908213,237840,30,
237718,0,237719,1586000,237720,3513416,145247.516908213,237941,26,
237821,59,237822,1274000,237823,3515004,146835.516908213,238041,30,
237919,44,237920,1586000,237921,3517432,149263.516908213,238142,40,
238020,55,238020,1586000,238022,3522640,154471.516908213,238253,50,
238121,65,238122,1586000,238123,3511304,143135.516908213,238331,48,
238224,80,238225,1586000,238228,3509384,141215.516908213,238448,38,
238321,73,238321,1586000,238322,3507596,139427.516908213,238546,51,
238424,62,238426,1586000,238428,3512668,144499.516908213,238648,40,
238522,83,238523,1586000,238524,3513684,145515.516908213,238746,50,
238623,62,238624,1586000,238627,3514844,146675.516908213,238843,26,
238724,78,238724,1586000,238725,3516084,147915.516908213,238948,31,
238824,40,238826,1586000,238827,3515356,147187.516908213,239042,41,
238924,51,238925,1586000,238926,3515852,147683.516908213,239149,31,
239026,65,239027,1586000,239028,3516348,148179.516908213,239245,29,
239125,88,239126,1586000,239127,3517480,149311.516908213,239347,36,
239228,0,239229,1586000,239230,3517044,148875.516908213,239452,37,
239327,56,239328,1586000,239330,3517056,148887.516908213,239550,33,
239430,66,239431,1586000,239432,3517112,148943.516908213,239651,38,
239531,51,239531,1586000,239533,3516764,148595.516908213,239751,23,
239632,70,239633,1586000,239634,3517588,149419.516908213,239861,32,
239732,38,239732,1378000,239734,3518996,150827.516908213,239970,51,
239833,58,239834,1482000,239835,3519492,151323.516908213,239997,37,
239935,82,239935,1586000,239937,3516692,148523.516908213,240101,47,
239989,53,239989,1586000,239990,3516248,148079.516908213,240191,47,
240085,79,240085,1586000,240086,3516348,148179.516908213,240306,24,
240185,73,240185,1586000,240186,3516684,148515.516908213,240409,38,
240286,38,240286,1586000,240288,3516488,148319.516908213,240506,51,
240386,67,240387,1586000,240388,3517964,149795.516908213,240608,28,
240491,81,240491,1586000,240492,3516532,148363.516908213,240709,32,
240592,58,240593,1586000,240594,3515772,147603.516908213,240809,24,
240693,58,240693,1586000,240695,3517508,149339.516908213,240914,29,
240793,35,240794,1586000,240795,3518004,149835.516908213,241012,38,
240894,54,240895,1586000,240896,3512540,144371.516908213,241122,47,
240995,69,240995,1586000,240996,3515536,147367.516908213,241221,48,
241095,73,241096,1586000,241097,3516036,147867.516908213,241315,28,
241198,88,241199,1586000,241201,3517648,149479.516908213,241421,36,
241297,0,241298,1586000,241299,3519548,151379.516908213,241514,39,
241400,60,241400,1586000,241404,3515292,147123.516908213,241616,37,
241498,67,241498,1586000,241499,3518764,150595.516908213,241718,34,
241598,65,241599,1586000,241600,3515204,147035.516908213,241820,37,
241699,58,241700,1586000,241701,3517388,149219.516908213,241921,48,
241799,53,241800,1586000,241803,3515420,147251.516908213,242021,51,
241900,76,241901,1586000,241902,3522448,154279.516908213,242118,43,
242001,83,242002,1586000,242005,3522796,154627.516908213,242229,42,
242101,68,242102,1586000,242103,3521424,153255.516908213,242321,29,
242202,88,242203,1586000,242205,3523136,154967.516908213,242427,41,
242303,0,242303,1586000,242304,3523672,155503.516908213,242521,33,
242403,71,242404,1586000,242407,3514444,146275.516908213,242628,35,
242503,56,242504,1586000,242505,3517668,149499.516908213,242720,27,
242604,88,242604,1586000,242605,3517376,149207.516908213,242824,31,
242704,0,242705,1586000,242706,3516780,148611.516908213,242923,43,
242805,54,242805,1378000,242807,3524444,156275.516908213,243028,32,
242905,77,242906,1586000,242907,3510880,142711.516908213,243123,40,
243006,53,243007,1274000,243010,3512992,144823.516908213,243230,35,
243106,71,243107,1586000,243108,3513096,144927.516908213,243328,37,
243207,54,243208,1586000,243209,3512908,144739.516908213,243430,42,
243307,61,243308,1378000,243310,3517884,149715.516908213,243525,33,
243408,71,243408,1586000,243410,3518396,150227.516908213,243628,37,
243508,59,243509,1586000,243510,3517736,149567.516908213,243731,26,
243609,64,243610,1586000,243612,3518852,150683.516908213,243835,36,
243710,49,243711,1378000,243712,3520440,152271.516908213,243931,49,
243812,57,243813,1586000,243815,3510000,141831.516908213,244032,34,
243911,78,243912,1586000,243913,3513176,145007.516908213,244131,31,
244012,60,244012,1586000,244015,3513476,145307.516908213,244229,24,
244112,60,244113,1274000,244114,3512496,144327.516908213,244332,32,
244212,40,244213,1586000,244214,3514976,146807.516908213,244432,41,
244313,51,244314,1586000,244315,3512560,144391.516908213,244530,34,
244414,67,244414,1586000,244416,3513056,144887.516908213,244636,34,
244514,57,244514,1586000,244516,3511164,142995.516908213,244732,31,
244614,62,244615,1586000,244616,3505344,137175.516908213,244835,22,
244715,58,244715,1378000,244716,3507252,139083.516908213,244935,35,
244816,40,244817,858000,244818,3510972,142803.516908213,245034,36,
244916,63,244916,1482000,244918,3514552,146383.516908213,245135,30,
245016,64,245016,1586000,245017,3514552,146383.516908213,245234,33,
245116,54,245117,1586000,245118,3513668,145499.516908213,245334,20,
245217,57,245217,1586000,245218,3515916,147747.516908213,245440,39,
245317,31,245318,1586000,245319,3516428,148259.516908213,245534,35,
245418,66,245420,1586000,245421,3516924,148755.516908213,245635,34,
245518,62,245519,1586000,245520,3506640,138471.516908213,245737,31,
245619,60,245619,1586000,245620,3505304,137135.516908213,245840,23,
245720,88,245720,1586000,245722,3505904,137735.516908213,245941,29,
245821,0,245821,1378000,245823,3509520,141351.516908213,246042,40,
245921,60,245921,1378000,245923,3513260,145091.516908213,246138,38,
246021,67,246022,1586000,246023,3511980,143811.516908213,246240,30,
246122,64,246122,1586000,246123,3511588,143419.516908213,246339,34,
246222,47,246223,1586000,246225,3514448,146279.516908213,246445,51,
246323,53,246324,1586000,246325,3514944,146775.516908213,246542,37,
246424,88,246425,1586000,246426,3515440,147271.516908213,246641,39,
246524,0,246524,1586000,246526,3515412,147243.516908213,246743,19,
246624,70,246625,1586000,246626,3513272,145103.516908213,246850,48,
246725,29,246725,1586000,246727,3514016,145847.516908213,246943,48,
246825,77,246826,1586000,246827,3514760,146591.516908213,247047,43,
246926,74,246926,1586000,246928,3515256,147087.516908213,247156,46,
247029,68,247029,1586000,247030,3514224,146055.516908213,247260,45,
247130,88,247131,1586000,247136,3497356,129187.516908213,247351,53,
247229,0,247230,1586000,247232,3531992,163823.516908213,247453,42,
247332,83,247333,1586000,247334,3536920,168751.516908213,247559,56,
247432,63,247432,1586000,247434,3537244,169075.516908213,247653,30,
247532,88,247532,1586000,247534,3539008,170839.516908213,247752,40,
247633,0,247634,1586000,247635,3540768,172599.516908213,247855,33,
247733,64,247734,1586000,247735,3539932,171763.516908213,247950,35,
247834,57,247835,1586000,247836,3540428,172259.516908213,248054,33,
247934,62,247935,1586000,247936,3539048,170879.516908213,248153,30,
248034,55,248035,1378000,248036,3539396,171227.516908213,248262,50,
248135,44,248136,1586000,248137,3533296,165127.516908213,248367,46,
248236,83,248237,1586000,248238,3534288,166119.516908213,248467,43,
248336,70,248337,1586000,248339,3533952,165783.516908213,248547,46,
248437,76,248438,1586000,248441,3535812,167643.516908213,248661,24,
248538,77,248538,1586000,248539,3530072,161903.516908213,248759,40,
248639,36,248639,1274000,248642,3530580,162411.516908213,248865,50,
248740,66,248740,1586000,248742,3533060,164891.516908213,248957,38,
248839,84,248841,1586000,248844,3534004,165835.516908213,249059,34,
248940,63,248941,1586000,248942,3532628,164459.516908213,249164,26,
249040,58,249041,1586000,249042,3533124,164955.516908213,249267,40,
249141,42,249142,1586000,249143,3534104,165935.516908213,249359,37,
249241,67,249242,1586000,249243,3534600,166431.516908213,249466,39,
249342,62,249343,1586000,249344,3535344,167175.516908213,249560,32,
249443,66,249443,1586000,249445,3533164,164995.516908213,249661,21,
249543,56,249543,1586000,249545,3533928,165759.516908213,249772,38,
249643,37,249643,1586000,249644,3534176,166007.516908213,249869,36,
249744,66,249745,1586000,249747,3531324,163155.516908213,249974,57,
249844,61,249845,1586000,249846,3534052,165883.516908213,250072,39,
249945,88,249945,1586000,249948,3533124,164955.516908213,250173,43,
250046,0,250046,1586000,250048,3534892,166723.516908213,250268,47,
250146,61,250147,1586000,250152,3527444,159275.516908213,250377,43,
250246,88,250247,1586000,250247,3534544,166375.516908213,250468,44,
250351,0,250352,1586000,250353,3534384,166215.516908213,250604,38,
250448,71,250449,1586000,250450,3533984,165815.516908213,250655,43,
250549,57,250551,1586000,250552,3535960,167791.516908213,250756,38,
250649,71,250649,1586000,250650,3540148,171979.516908213,250873,32,
250749,67,250750,1586000,250750,3526484,158315.516908213,250972,40,
250853,52,250853,1586000,250855,3527680,159511.516908213,251076,31,
250951,68,250951,1586000,250952,3529168,160999.516908213,251176,47,
251051,52,251051,1586000,251053,3530600,162431.516908213,251275,46,
251152,75,251153,1586000,251155,3536348,168179.516908213,251370,34,
251253,73,251254,1586000,251255,3535852,167683.516908213,251472,27,
251353,56,251353,1586000,251355,3536348,168179.516908213,251571,24,
251454,56,251454,1586000,251456,3537156,168987.516908213,251697,36,
251553,35,251554,1586000,251555,3537668,169499.516908213,251774,38,
251655,65,251656,1586000,251657,3538040,169871.516908213,251888,38,
251755,65,251755,1586000,251757,3535820,167651.516908213,251975,45,
251857,66,251857,1586000,251858,3535132,166963.516908213,252092,40,
251955,71,251955,1586000,251955,3535340,167171.516908213,252182,45,
252058,56,252060,1586000,252065,3535836,167667.516908213,252293,50,
252156,77,252157,1586000,252157,3519412,151243.516908213,252370,44,
252265,76,252266,1586000,252268,3516772,148603.516908213,252478,36,
252357,74,252358,1586000,252358,3510604,142435.516908213,252578,38,
252460,55,252461,1586000,252462,3512348,144179.516908213,252685,39,
252561,57,252561,1586000,252563,3519664,151495.516908213,252786,34,
252661,68,252662,1586000,252663,3520160,151991.516908213,252884,39,
252762,61,252762,1378000,252766,3521152,152983.516908213,252990,32,
252862,64,252862,1586000,252864,3519580,151411.516908213,253082,46,
252963,51,252967,1586000,252969,3521420,153251.516908213,253187,29,
253063,75,253064,1586000,253065,3521420,153251.516908213,253288,33,
253164,48,253164,1586000,253166,3520044,151875.516908213,253391,30,
253264,64,253265,1586000,253266,3521000,152831.516908213,253495,33,
253365,47,253365,1586000,253367,3519724,151555.516908213,253612,51,
253466,53,253467,1586000,253469,3518912,150743.516908213,253712,42,
253568,82,253569,1586000,253576,3512528,144359.516908213,253789,49,
253671,68,253672,1586000,253674,3511644,143475.516908213,253905,35,
253769,77,253770,1586000,253771,3512884,144715.516908213,253995,39,
253874,57,253874,1586000,253876,3512704,144535.516908213,254058,55,
253972,62,253973,1586000,253974,3519364,151195.516908213,254140,46,
254025,90,254026,1586000,254028,3519364,151195.516908213,254241,41,
254123,76,254124,1586000,254125,3520108,151939.516908213,254339,29,
254223,70,254224,1586000,254225,3519472,151303.516908213,254444,24,
254324,46,254324,1586000,254325,3520656,152487.516908213,254543,40,
254425,38,254425,1586000,254427,3519180,151011.516908213,254645,32,
254525,65,254526,1586000,254527,3519540,151371.516908213,254749,54,
254626,55,254627,1586000,254628,3519504,151335.516908213,254843,26,
254727,88,254728,1586000,254729,3518156,149987.516908213,254962,32,
254827,0,254827,1586000,254829,3519496,151327.516908213,255034,46,
254928,53,254928,1586000,254930,3510136,141967.516908213,255150,32,
255028,76,255028,1586000,255029,3517196,149027.516908213,255250,29,
255129,54,255130,1274000,255131,3516424,148255.516908213,255350,34,
255229,59,255230,1378000,255232,3516676,148507.516908213,255458,42,
255329,50,255330,1586000,255333,3520684,152515.516908213,255577,55,
255430,72,255431,1586000,255432,3528496,160327.516908213,255651,49,
255541,87,255547,1586000,255549,3529016,160847.516908213,255754,41,
255632,78,255632,1586000,255633,3524064,155895.516908213,255853,39,
255732,68,255733,1586000,255735,3526568,158399.516908213,255950,32,
255833,59,255834,1586000,255835,3527312,159143.516908213,256051,41,
255934,60,255934,1586000,255935,3513784,145615.516908213,256152,30,
256034,67,256035,1586000,256036,3520460,152291.516908213,256256,35,
256135,54,256135,1586000,256137,3519084,150915.516908213,256353,26,
256235,61,256236,1586000,256237,3519828,151659.516908213,256459,33,
256336,42,256336,1586000,256337,3522308,154139.516908213,256555,45,
256436,56,256437,1586000,256438,3529176,161007.516908213,256657,31,
256536,74,256537,1586000,256538,3529512,161343.516908213,256764,37,
256637,50,256638,1586000,256640,3528752,160583.516908213,256854,27,
256739,66,256741,1586000,256747,3528884,160715.516908213,256953,30,
256838,40,256838,1586000,256839,3527996,159827.516908213,257060,38,
256938,50,256938,1586000,256940,3513924,145755.516908213,257159,40,
257038,69,257039,1482000,257041,3519592,151423.516908213,257262,47,
257139,67,257139,1586000,257141,3518916,150747.516908213,257374,43,
257241,77,257242,1586000,257243,3518868,150699.516908213,257462,38,
257343,68,257343,1586000,257345,3519208,151039.516908213,257563,50,
257442,63,257443,1586000,257444,3523832,155663.516908213,257663,41,
257542,79,257542,1586000,257545,3518228,150059.516908213,257767,38,
257643,69,257643,1586000,257645,3518848,150679.516908213,257861,22,
257743,66,257743,1586000,257747,3520088,151919.516908213,257974,24,
257844,40,257845,1586000,257846,3522568,154399.516908213,258067,41,
257950,39,257950,1586000,257953,3528768,160599.516908213,258170,27,
258046,70,258049,1586000,258050,3528832,160663.516908213,258266,33,
258145,48,258146,1482000,258151,3517548,149379.516908213,258368,31,
258246,69,258247,1586000,258248,3516860,148691.516908213,258474,27,
258346,49,258347,1586000,258350,3520184,152015.516908213,258581,43,
258448,50,258448,1482000,258450,3530416,162247.516908213,258662,35,
258550,88,258550,1586000,258553,3531284,163115.516908213,258770,36,
