Time  [ms],CPU Load [%],Time  [ms],CPU1 Frequency [kHz],Time  [ms],Memory Usage [KB],Memory Usage [KB] App,Time  [ms],CPU Load (Normalized) [%],
17951,19,17952,858000,17953,3349420,0,17975,6,
18052,13,18052,1066000,18054,3349612,0,18073,6,
18152,19,18153,1170000,18154,3350604,0,18172,10,
18253,12,18254,754000,18256,3351100,0,18281,6,
18354,25,18354,858000,18356,3349376,0,18378,9,
18456,16,18457,442000,18459,3349624,0,18488,7,
18555,20,18555,962000,18557,3350604,0,18582,7,
18656,15,18657,858000,18659,3350976,0,18687,6,
18756,18,18756,1170000,18758,3350976,0,18775,8,
18857,19,18857,1378000,18859,3348956,0,18878,11,
18957,16,18958,858000,18960,3348956,0,18979,7,
19057,18,19058,1170000,19060,3349452,0,19087,9,
19158,20,19159,962000,19161,3349948,0,19183,8,
19259,16,19260,962000,19262,3350620,0,19288,6,
19362,18,19363,442000,19365,3351116,0,19395,6,
19461,27,19462,962000,19463,3349936,0,19482,11,
19563,18,19564,442000,19566,3349876,0,19595,7,
19662,22,19663,858000,19664,3350124,0,19684,8,
19764,18,19765,442000,19767,3350372,0,19796,6,
19866,14,19868,442000,19872,3350868,0,19914,4,
19963,36,19964,1378000,19965,3348948,0,19985,22,
20065,15,20067,442000,20072,3348948,0,20098,8,
20165,21,20166,962000,20167,3349380,0,20190,8,
20267,21,20268,442000,20271,3349876,0,20298,7,
20366,14,20367,1170000,20368,3350372,0,20387,5,
20467,12,20468,1066000,20469,3351116,0,20492,6,
20568,14,20568,1066000,20570,3349380,0,20587,8,
20668,10,20669,1170000,20670,3350000,0,20686,5,
20769,10,20770,754000,20772,3350000,0,20794,5,
20870,12,20871,962000,20873,3350248,0,20899,5,
20970,16,20972,442000,20974,3350728,0,21002,6,
21071,31,21071,1378000,21073,3348164,0,21088,15,
21172,16,21173,650000,21175,3348412,0,21199,6,
21272,20,21273,754000,21275,3348660,0,21296,7,
21372,19,21373,962000,21375,3348908,0,21398,8,
21473,20,21474,858000,21476,3349564,0,21495,7,
21573,13,21574,1170000,21575,3350232,0,21599,7,
21674,18,21674,1066000,21676,3348704,0,21693,11,
21774,15,21775,1066000,21776,3348952,0,21793,8,
21876,17,21878,442000,21880,3349448,0,21909,7,
21975,20,21976,1066000,21977,3349612,0,21995,7,
22076,17,22077,1170000,22078,3349860,0,22096,9,
22176,25,22177,1378000,22178,3348432,0,22193,15,
22277,17,22278,1378000,22279,3348432,0,22295,11,
22378,19,22379,858000,22381,3348868,0,22399,8,
22480,19,22481,650000,22483,3349364,0,22505,6,
22580,15,22581,754000,22583,3349860,0,22603,5,
22680,23,22681,962000,22682,3349172,0,22700,9,
22782,20,22783,858000,22785,3349916,0,22805,8,
22881,33,22881,1586000,22882,3355372,0,22897,22,
22981,33,22982,1586000,22983,3355620,0,22998,23,
23082,30,23082,1586000,23084,3355620,0,23100,22,
23183,46,23183,1586000,23184,3351532,0,23201,31,
23283,30,23283,1170000,23285,3351724,0,23301,15,
23383,33,23384,1170000,23385,3352220,0,23400,16,
23484,19,23485,858000,23487,3352484,0,23506,7,
23585,20,23585,962000,23587,3352548,0,23605,8,
