execute_time,a_matrix_height,a_matrix_width,b_matrix_height,b_matrix_width,out_matrix_height,out_matrix_width
0.0287,[1,2048],[2048,1024],[1,1024]
0.010181,[1,1024],[1024,1008],[1,1008]
0.022727,[1,2048],[2048,1024],[1,1024]
0.016156,[1,1024],[1024,1008],[1,1008]
0.018186,[1,2048],[2048,1024],[1,1024]
0.004923,[1,1024],[1024,1008],[1,1008]
0.022974,[1,2048],[2048,1024],[1,1024]
0.00942,[1,1024],[1024,1008],[1,1008]
0.025508,[1,2048],[2048,1024],[1,1024]
0.004589,[1,1024],[1024,1008],[1,1008]
0.021891,[1,2048],[2048,1024],[1,1024]
0.002906,[1,1024],[1024,1008],[1,1008]
0.023084,[1,2048],[2048,1024],[1,1024]
0.004183,[1,1024],[1024,1008],[1,1008]
0.015416,[1,2048],[2048,1024],[1,1024]
0.003068,[1,1024],[1024,1008],[1,1008]
0.024343,[1,2048],[2048,1024],[1,1024]
0.004503,[1,1024],[1024,1008],[1,1008]
0.023571,[1,2048],[2048,1024],[1,1024]
0.009425,[1,1024],[1024,1008],[1,1008]
0.0274,[1,2048],[2048,1024],[1,1024]
0.003682,[1,1024],[1024,1008],[1,1008]
0.028612,[1,2048],[2048,1024],[1,1024]
0.003845,[1,1024],[1024,1008],[1,1008]
0.031657,[1,2048],[2048,1024],[1,1024]
0.010434,[1,1024],[1024,1008],[1,1008]
0.018725,[1,2048],[2048,1024],[1,1024]
0.003146,[1,1024],[1024,1008],[1,1008]
0.024771,[1,2048],[2048,1024],[1,1024]
0.003721,[1,1024],[1024,1008],[1,1008]
0.010839,[1,2048],[2048,1024],[1,1024]
0.003391,[1,1024],[1024,1008],[1,1008]
0.01321,[1,2048],[2048,1024],[1,1024]
0.003079,[1,1024],[1024,1008],[1,1008]
0.02245,[1,2048],[2048,1024],[1,1024]
0.004758,[1,1024],[1024,1008],[1,1008]
0.020869,[1,2048],[2048,1024],[1,1024]
0.010231,[1,1024],[1024,1008],[1,1008]
0.024985,[1,2048],[2048,1024],[1,1024]
0.00547,[1,1024],[1024,1008],[1,1008]
0.018194,[1,2048],[2048,1024],[1,1024]
0.003782,[1,1024],[1024,1008],[1,1008]
0.027359,[1,2048],[2048,1024],[1,1024]
0.006855,[1,1024],[1024,1008],[1,1008]
0.022799,[1,2048],[2048,1024],[1,1024]
0.007177,[1,1024],[1024,1008],[1,1008]
0.022839,[1,2048],[2048,1024],[1,1024]
0.003987,[1,1024],[1024,1008],[1,1008]
0.025108,[1,2048],[2048,1024],[1,1024]
0.011148,[1,1024],[1024,1008],[1,1008]
0.029878,[1,2048],[2048,1024],[1,1024]
0.003352,[1,1024],[1024,1008],[1,1008]
0.015796,[1,2048],[2048,1024],[1,1024]
0.003075,[1,1024],[1024,1008],[1,1008]
0.022417,[1,2048],[2048,1024],[1,1024]
0.005985,[1,1024],[1024,1008],[1,1008]
0.024053,[1,2048],[2048,1024],[1,1024]
0.009983,[1,1024],[1024,1008],[1,1008]
0.024992,[1,2048],[2048,1024],[1,1024]
0.009794,[1,1024],[1024,1008],[1,1008]
0.019658,[1,2048],[2048,1024],[1,1024]
0.004187,[1,1024],[1024,1008],[1,1008]
0.024064,[1,2048],[2048,1024],[1,1024]
0.003349,[1,1024],[1024,1008],[1,1008]
0.028453,[1,2048],[2048,1024],[1,1024]
0.004074,[1,1024],[1024,1008],[1,1008]
0.019704,[1,2048],[2048,1024],[1,1024]
0.006375,[1,1024],[1024,1008],[1,1008]
0.012738,[1,2048],[2048,1024],[1,1024]
0.002965,[1,1024],[1024,1008],[1,1008]
0.02813,[1,2048],[2048,1024],[1,1024]
0.006935,[1,1024],[1024,1008],[1,1008]
0.02789,[1,2048],[2048,1024],[1,1024]
0.005754,[1,1024],[1024,1008],[1,1008]
0.025393,[1,2048],[2048,1024],[1,1024]
0.011399,[1,1024],[1024,1008],[1,1008]
0.023144,[1,2048],[2048,1024],[1,1024]
0.012953,[1,1024],[1024,1008],[1,1008]
0.023098,[1,2048],[2048,1024],[1,1024]
0.014873,[1,1024],[1024,1008],[1,1008]
0.024132,[1,2048],[2048,1024],[1,1024]
0.004982,[1,1024],[1024,1008],[1,1008]
0.024816,[1,2048],[2048,1024],[1,1024]
0.00872,[1,1024],[1024,1008],[1,1008]
0.023546,[1,2048],[2048,1024],[1,1024]
0.009935,[1,1024],[1024,1008],[1,1008]
0.025452,[1,2048],[2048,1024],[1,1024]
0.004926,[1,1024],[1024,1008],[1,1008]
0.01291,[1,2048],[2048,1024],[1,1024]
0.003222,[1,1024],[1024,1008],[1,1008]
